Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number
4 Ever Life Insurance Company,80985,4EL 2016 ExPat (resubmission),H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,BCSF-131413729,1
4 Ever Life Insurance Company,80985,4EL 2024 ExPat,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,BCSF-134269831,1
4 Ever Life Insurance Company,80985,Group A & H,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,BCSF-133958096,1
4 Ever Life Insurance Company,80985,Group A & H,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,BCSF-133191169,1
4 Ever Life Insurance Company,80985,Group A & H,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,BCSF-133588837,1
4 Ever Life Insurance Company,80985,Group A & H,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,BCSF-134430362,1
4 Ever Life Insurance Company,80985,Student Health,H04.001 Student,Normal Pre-Approval,Closed - APPR Approved,BCSF-131682400,1
4 Ever Life Insurance Company,80985,Student Health,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,BCSF-132729862,1
4 Ever Life Insurance Company,80985,Student Health,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,BCSF-133958074,1
4 Ever Life Insurance Company,80985,Student Health,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,BCSF-131385742,1
4 Ever Life Insurance Company,80985,Student Health,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,BCSF-133698707,1
4 Ever Life Insurance Company,80985,Student Health,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,BCSF-132295864,1
4 Ever Life Insurance Company,80985,Student Health,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,BCSF-131820569,1
4 Ever Life Insurance Company,80985,Student Health,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,BCSF-134363838,1
4 Ever Life Insurance Company,80985,Student Health,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,BCSF-133132513,1
4 Ever Life Insurance Company,80985,Student Health,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,BCSF-133513153,1
ACE American Insurance Company,22667,Individual Travel Policy,H19I.000 Health - Travel,Normal Pre-Approval,Closed - APPR Approved,ACEH-134402740,1
ACE American Insurance Company,22667,Travel,H19I.000 Health - Travel,Normal Pre-Approval,Closed - APPR Approved,ACEH-131342248,1
ACE American Insurance Company,22667,Volunteer Firefighter Enhanced Cancer Policy,H04.000 Health - Blanket Accident/Sickness,Normal Pre-Approval,Closed - APPR Approved,ACEH-133005589,1
ACE American Insurance Company,22667,Volunteer Firefighter Enhanced Cancer Policy,H04.000 Health - Blanket Accident/Sickness,Normal Pre-Approval,Closed - APPR Approved,ACEH-132647845,1
ACE American Insurance Company,22667,Volunteer Firefighter Enhanced Cancer Policy,H04.000 Health - Blanket Accident/Sickness,Normal Pre-Approval,Closed - APPR Approved,ACEH-132893587,1
ACE American Insurance Company,22667,Volunteer Firefighter Enhanced Cancer Policy,H04.000 Health - Blanket Accident/Sickness,Normal Pre-Approval,Closed - APPR Approved,ACEH-131557811,1
ACE American Insurance Company,22667,Volunteer Firefighter Enhanced Cancer Policy,H04.000 Health - Blanket Accident/Sickness,Normal Pre-Approval,Closed - APPR Approved,ACEH-131740566,1
ACE Property and Casualty Insurance Company,20699,ACE Group Disability Income - Form No. C40301,H11G.002 Short Term,Normal Pre-Approval,Closed - APPR Approved,ACEH-132831343,1
ACE Property and Casualty Insurance Company,20699,Amendment - Form No. 400000 for Form No. P40700,H02G.000 Health - Accident Only,Normal Pre-Approval,Closed - APPR Approved,ACEH-133318301,1
ACE Property and Casualty Insurance Company,20699,Group Accident Only - Form No. C40701,H02G.000 Health - Accident Only,Normal Pre-Approval,Closed - APPR Approved,ACEH-132225985,1
ACE Property and Casualty Insurance Company,20699,Group Critical Illness - Wellness Incentive,H07G.001 Critical Illness,Normal Pre-Approval,Closed - APPR Approved,ACEH-133594881,1
ACE Property and Casualty Insurance Company,20699,NY Group DI Amendment - ACE P&C,H11G.002 Short Term,Normal Pre-Approval,Closed - APPR Approved,ACEH-134543781,1
ACE Property and Casualty Insurance Company,20699,Officer Change Only - ACE P&C Group A&H,H21.000 Health - Other,Filed for Reference,Closed - FIREF Filed for Reference Purposes,ACEH-133339857,1
ACE Property and Casualty Insurance Company,20699,Travel Protection Insurance,H19I.000 Health - Travel,Normal Pre-Approval,Closed - APPR Approved,ACEH-131691953,1
ACE Property and Casualty Insurance Company,20699,Travel Protection Insurance,H19I.000 Health - Travel,Normal Pre-Approval,Closed - APPR Approved,ACEH-131576024,1
ACE Property and Casualty Insurance Company,20699,Wellness Benefit Program - 2025,H07G.001 Critical Illness,Normal Pre-Approval,Closed - APPR Approved,ACEH-134480547,1
ACE Property and Casualty Insurance Company,20699,Wellness Benefit Program - 2025 Certificate Specification Updates,H07G.001 Critical Illness,Normal Pre-Approval,Closed - APPR Approved,ACEH-134679876,1
Aetna Health Inc. (NY),95234,2020 - AHIC LG Pre-enrollment Disclosure,H16G.002D Large Group Only - EPO,Filed for Reference,Closed - FIREF Filed for Reference Purposes,AETN-132426111,1
