Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Security Mutual Life Insurance Company of New York,68772.0,2016 SML-Revised-MVM,H02G.000 Health - Accident Only,Form,Closed - Filed,CMPL-130411958,1,130411958,AL,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130411958,True,https://filingaccess.serff.com/sfa/home/AL,[],ui-button
4 Ever Life Insurance Company,80985.0,Accident and Sickness,H21.000 Health - Other,Form,Closed - Filed as revised,BCSF-128695738,1,128695738,AL,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128695738,True,https://filingaccess.serff.com/sfa/home/AL,"['SBC Certificate', 'Glossary', 'SBC Certificate-sample']",9/20/12
5 Star Life Insurance Company,77879.0,Critical Illness,H07G.001 Critical Illness,Form,Closed - Approved as revised,FIVE-125874284,1,125874284,AL,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125874284,True,https://filingaccess.serff.com/sfa/home/AL,"['Group Critical Illness Employer Master Policy', 'Employee Critical Illness Certificate', 'Application for Critical Illness Insurance – Employee', 'Employer Application for Group Insurance']",10/27/08
5 Star Life Insurance Company,77879.0,Federal Disclosure 2024,H14G.000 Health - Hospital Indemnity,Form,Closed - Approved,FIVE-134321708,1,134321708,AL,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134321708,True,https://filingaccess.serff.com/sfa/home/AL,"['Enrollment Form', 'Application']",11/15/24
5 Star Life Insurance Company,77879.0,Gap Rider 2024,H25G.001 Any Size Group,Form/Rate,Closed - Approved,FIVE-134326734,1,134326734,AL,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134326734,True,https://filingaccess.serff.com/sfa/home/AL,"['Supplemental Medical Expense Rider', 'Rate Manual']",11/21/24
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - Approved,FIVE-132459991,1,132459991,AL,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132459991,True,https://filingaccess.serff.com/sfa/home/AL,['Endorsement'],7/15/20
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - Approved,FIVE-132198431,1,132198431,AL,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132198431,True,https://filingaccess.serff.com/sfa/home/AL,"['Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form']",1/7/20
5 Star Life Insurance Company,77879.0,Group Health-Critical Illness,H07G.001 Critical Illness,Form,Closed - Approved,FIVE-126564764,1,126564764,AL,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126564764,True,https://filingaccess.serff.com/sfa/home/AL,['EMPLOYER PAID RIDER'],3/30/10
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form,Closed - Approved,FIVE-132296421,1,132296421,AL,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132296421,True,https://filingaccess.serff.com/sfa/home/AL,"['Policy', 'Certificate', 'Schedule of Benefits']",3/10/20
5 Star Life Insurance Company,77879.0,Group Specified Disease,H07G.001 Critical Illness,Form/Rate,Closed - Approved,FIVE-133743489,1,133743489,AL,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133743489,True,https://filingaccess.serff.com/sfa/home/AL,['Specified Disease Rider'],8/10/23
[]Fortis Benefits Insurance Company,-99.0,Group Dental,Health Other,Form,Closed - Approved,SERT-4YDPTK003/00-00/00-00/00,1,4YDPTK003/00,AL,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=4YDPTK003/00,True,https://filingaccess.serff.com/sfa/home/AL,['Specified Disease Rider'],8/10/23
