Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
CUNA Mutual Insurance Society,62626.0,CUNA E10a-015-2007,H21.000 Health - Other,Form,Closed - APPROVED,CMPL-125217699,1,125217699,DC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125217699,True,https://filingaccess.serff.com/sfa/home/DC,[],ui-button
Security Mutual Life Insurance Company of New York,68772.0,2016 SML-Revised-MVM,H02G.000 Health - Accident Only,Form,Closed - APPROVED,CMPL-130411961,1,130411961,DC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130411961,True,https://filingaccess.serff.com/sfa/home/DC,[],1/22/16
Security Mutual Life Insurance Company of New York,68772.0,SML SML-STD-MP 2014,H11G.002 Short Term,Form,Closed - APPROVED,CMPL-130116444,1,130116444,DC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130116444,True,https://filingaccess.serff.com/sfa/home/DC,"['Policy', 'Certificate', 'Certificate', 'Master Application', 'Master Application U/A', 'Master Application', 'Delivery Receipt/Application Amendmen', 'Enrollment Form', 'Group Policy Amendment', 'Certificate Amendment']",6/9/15
4 Ever Life Insurance Company,80985.0,Form 28.1302 Blanket Student Accident & Sickness -,H04.001 Student,Form,Closed - APPROVED,MCHX-G128350818,1,G128350818,DC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128350818,True,https://filingaccess.serff.com/sfa/home/DC,"['Policy', 'Certificate', 'Certificate', 'Master Application', 'Master Application U/A', 'Master Application', 'Delivery Receipt/Application Amendmen', 'Enrollment Form', 'Group Policy Amendment', 'Certificate Amendment']",6/9/15
4 Ever Life Insurance Company,80985.0,Form 28.1322 Blanket Student Study Abroad Accident,H04.001 Student,Form,Closed - APPROVED,MCHX-G128350980,1,G128350980,DC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128350980,True,https://filingaccess.serff.com/sfa/home/DC,"['Policy', 'Certificate', 'Certificate', 'Master Application', 'Master Application U/A', 'Master Application', 'Delivery Receipt/Application Amendmen', 'Enrollment Form', 'Group Policy Amendment', 'Certificate Amendment']",6/9/15
4 Ever Life Insurance Company,80985.0,Form 54.1402 - 4 Ever Life Global Citizens Short T,H16G.004 Short Term,Form,Closed - APPROVED,MCHX-G128404518,1,G128404518,DC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128404518,True,https://filingaccess.serff.com/sfa/home/DC,"['Policy', 'Certificate', 'Certificate', 'Master Application', 'Master Application U/A', 'Master Application', 'Delivery Receipt/Application Amendmen', 'Enrollment Form', 'Group Policy Amendment', 'Certificate Amendment']",6/9/15
4 Ever Life Insurance Company,80985.0,Form 55.1301 4 Ever Life Travel Gap - Short Term M,H19G.000 Health - Travel,Form,Closed - APPROVED,MCHX-G127998183,1,G127998183,DC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G127998183,True,https://filingaccess.serff.com/sfa/home/DC,"['Policy', 'Certificate', 'Certificate', 'Master Application', 'Master Application U/A', 'Master Application', 'Delivery Receipt/Application Amendmen', 'Enrollment Form', 'Group Policy Amendment', 'Certificate Amendment']",6/9/15
5 Star Life Insurance Company,77879.0,FPP CHR Rider,H21.000 Health - Other,Form,Closed - APPROVED,FIVE-130374666,1,130374666,DC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130374666,True,https://filingaccess.serff.com/sfa/home/DC,['Accelerated Death Benefit Rider'],12/18/15
5 Star Life Insurance Company,77879.0,Gap Rider 2024,H15G.001 Any Size Group,Form,Closed - APPROVED,FIVE-134335568,1,134335568,DC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134335568,True,https://filingaccess.serff.com/sfa/home/DC,['Supplemental Medical Expense Rider'],12/16/24
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - APPROVED,FIVE-132198444,1,132198444,DC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132198444,True,https://filingaccess.serff.com/sfa/home/DC,"['Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form']",1/7/20
