Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
4 Ever Life Insurance Company,80985.0,4 EL Dental 2019,H10G.000 Health - Dental,Form/Rate,Closed - Filed,BCSF-132142787,1,132142787,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132142787,True,https://filingaccess.serff.com/sfa/home/DE,[],ui-button
4 Ever Life Insurance Company,80985.0,4 EL Vision 2019,H20G.000 Health - Vision,Form/Rate,Closed - Filed,BCSF-132143079,1,132143079,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132143079,True,https://filingaccess.serff.com/sfa/home/DE,"['Group Vision Policy', 'Group Vision Certificate', 'Group Vision Application', 'Rate Manual']",11/5/19
4 Ever Life Insurance Company,80985.0,4EL 2016 Expat,H16G.002C Large Group Only - Other,Form/Rate,Closed - Filed,BCSF-130724457,1,130724457,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130724457,True,https://filingaccess.serff.com/sfa/home/DE,"['Group Policy', 'Group Certificate', 'Group Participating Application', 'Dental Services Rider', 'AD & D Rider', 'Vision Care Rider', 'Medical Assistamce Rider', 'Rate Manual']",9/29/16
4 Ever Life Insurance Company,80985.0,4EL 2024 Expat,H16G.002C Large Group Only - Other,Form/Rate,Closed - Filed,BCSF-134070927,1,134070927,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134070927,True,https://filingaccess.serff.com/sfa/home/DE,"['Group Policy', 'Group Certificate', 'Schedule of Benefits', 'Group Participating Application', 'AD&D Rider', 'Dental Services Rider', 'Emergency Services Care inside the United States', 'Medical Assistamce Rider', 'Travel Rider', 'Vision Care Rider', 'Notice of Appeal Rights', 'Rate Manual']",4/29/24
4 Ever Life Insurance Company,80985.0,ExPat (Small Group),H16G.003C Small Group Only - PPO Standard,Form/Rate,Closed - Filed,BCSF-130336643,1,130336643,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130336643,True,https://filingaccess.serff.com/sfa/home/DE,"['Small Employer Policy', 'Small Employer Certificate', 'Small Employer Application', 'Small Group Ex-Pat']",11/19/15
4 Ever Life Insurance Company,80985.0,ExPatriate Marriott Single Case,H16G.002C Large Group Only - Other,Form,Closed - Filed,BCSF-134340674,1,134340674,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134340674,True,https://filingaccess.serff.com/sfa/home/DE,"['Certificate', 'Schedule of Benefits']",12/5/24
4 Ever Life Insurance Company,80985.0,Form 28.1302 Blanket Student Accident & Sickness -,H04.001 Student,Form,Closed - Filed,MCHX-G127829262,1,G127829262,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G127829262,True,https://filingaccess.serff.com/sfa/home/DE,"['Certificate', 'Schedule of Benefits']",12/5/24
4 Ever Life Insurance Company,80985.0,Form 28.1322 Blanket Student Study Abroad Accident,H04.001 Student,Form,Closed - Filed,MCHX-G127911501,1,G127911501,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G127911501,True,https://filingaccess.serff.com/sfa/home/DE,"['Certificate', 'Schedule of Benefits']",12/5/24
4 Ever Life Insurance Company,80985.0,Form 54.1402 - 4 Ever Life Global Citizens Short T,H16G.004 Short Term,Form,Closed - Filed,MCHX-G128500011,1,G128500011,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128500011,True,https://filingaccess.serff.com/sfa/home/DE,"['Certificate', 'Schedule of Benefits']",12/5/24
4 Ever Life Insurance Company,80985.0,Form 55.1301 4 Ever Life Travel Gap - Short Term M,H19G.000 Health - Travel,Form,Closed - Filed,MCHX-G128406059,1,G128406059,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128406059,True,https://filingaccess.serff.com/sfa/home/DE,"['Certificate', 'Schedule of Benefits']",12/5/24
4 Ever Life Insurance Company,80985.0,Form 55.202 Business Traveler Blanket Insurance -,H04.000 Health - Blanket Accident/Sickness,Form/Rate,Closed - Filed,MCHX-G127322913,1,G127322913,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G127322913,True,https://filingaccess.serff.com/sfa/home/DE,"['Certificate', 'Schedule of Benefits']",12/5/24
4 Ever Life Insurance Company,80985.0,GeoBlue ExPat Rider,H16G.002A Large Group Only - PPO,Form,Closed - Filed,BCSF-134425613,1,134425613,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134425613,True,https://filingaccess.serff.com/sfa/home/DE,['Canadian Rider'],2/19/25
4 Ever Life Insurance Company,80985.0,Group Major Medical,H16G.002C Large Group Only - Other,Form/Rate,Closed - Filed,BCSF-127207097,1,127207097,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127207097,True,https://filingaccess.serff.com/sfa/home/DE,"['group policy', 'group certificate', 'group application and participation request']",6/9/11
4 Ever Life Insurance Company,80985.0,Major Med - AECOM - Single Case,H16G.002C Large Group Only - Other,Form/Rate,Closed - Filed,BCSF-130283798,1,130283798,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130283798,True,https://filingaccess.serff.com/sfa/home/DE,"['Policy Form', 'Certificate', 'Certificate', 'Certificate', 'Certificate', 'Vision Rider', 'Dental Rider', 'Ex-Pat - Rates - AECOM']",10/15/15
4 Ever Life Insurance Company,80985.0,Major Med - TATA - Singal Case,H16G.002C Large Group Only - Other,Form/Rate,Closed - Filed,BCSF-130147193,1,130147193,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130147193,True,https://filingaccess.serff.com/sfa/home/DE,"['Policy Form', 'Certificate', 'Ex-Pat - Rates - TATA']",6/30/15
4 Ever Life Insurance Company,80985.0,TCN,H16G.002C Large Group Only - Other,Form/Rate,Closed - Filed,BCSF-131254569,1,131254569,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131254569,True,https://filingaccess.serff.com/sfa/home/DE,"['Third Country National Certificate', 'Dental Rider', 'Emergency Services Care insde the United States Rider', 'Medical Assistance Rider', 'Vision Care Rider', 'Group Application', 'Appendix']",12/19/17
5 Star Life Insurance Company,77879.0,5 STAR Portability Trust,H21.000 Health - Other,Form,Closed - Filed,FIVE-132607803,1,132607803,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132607803,True,https://filingaccess.serff.com/sfa/home/DE,"['GROUP HEALTH PORTABILITY TRUST INSURANCE POLICY', 'MASTER APPLICATION', 'Group Health Portability Endorsement', 'REQUEST CONTINUATION']",11/14/20
5 Star Life Insurance Company,77879.0,Gap Rider 2024,H15G.001 Any Size Group,Form/Rate,Closed - Filed,FIVE-134327105,1,134327105,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134327105,True,https://filingaccess.serff.com/sfa/home/DE,"['Supplemental Medical Expense Rider', 'Rate Manual']",12/13/24
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form/Rate,Closed - Filed,FIVE-132198442,1,132198442,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132198442,True,https://filingaccess.serff.com/sfa/home/DE,"['Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form', 'Base Accident Rating Manual', 'Sickness Rider Rating Manual']",1/13/20
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form/Rate,Closed - Filed,FIVE-132463691,1,132463691,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132463691,True,https://filingaccess.serff.com/sfa/home/DE,"['Endorsement', 'Exhibit 1 - Rates']",7/22/20
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form/Rate,Closed - Filed,FIVE-132296424,1,132296424,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132296424,True,https://filingaccess.serff.com/sfa/home/DE,"['Policy', 'Certificate', 'Schedule of Benefits', 'Rating Manual']",3/11/20
AAA Life Insurance Company,71854.0,AAA Riders B380 - B389,H14I.000 Health - Hospital Indemnity,Form/Rate,Closed - Filed,PYMT-126490326,1,126490326,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126490326,True,https://filingaccess.serff.com/sfa/home/DE,"['Accidental Death Benefit Rider and Schedule', 'Accident Only Hospital Indemnity Benefit Rider and Schedule', 'After Hospital Benefit Rider and Schedule', 'Extra Dailiy Benefit Rider and Schedule', 'Intensive Care Benefit Rider and Schedule', 'Hospital Confinement Benefit Rider and Schedule', 'Accident Intensive Care Benefit Rider and Schedule', 'Surgical and Dismemberment Benefit Rider and Schedule', 'Home Recovery Benefit Rider and Schedule', 'Hospital Confinement Benefit Rider and Schedule']",2/18/10
AAA Life Insurance Company,71854.0,Accident Product,H02I.000 Health - Accident Only,Form/Rate,Closed - Filed,AAAL-131284530,1,131284530,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131284530,True,https://filingaccess.serff.com/sfa/home/DE,"['Accidental Death Insurance Policy', 'Lifetime Membership Benefit Endorsement', 'Spouse Coverage Rider', 'Child Coverage Rider', 'Additional Airline & Common Carrier Accidental Death Rider', 'Additional Automobile & Pedestrian Accidental Death Rider', 'Premiums']",12/28/17
AAA Life Insurance Company,71854.0,GA80081 et al,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Filed,AAAL-125531752,1,125531752,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125531752,True,https://filingaccess.serff.com/sfa/home/DE,"['Group Accident Insurance Certficiate', 'Common Carrier & Scheduled Airline Travel Accident Endorsement', 'Enrollment Form']",3/21/08
AAA Life Insurance Company,71854.0,Member Loyalty Travel Accident,Health All Types,Form,Closed - Filed,AAAL-125145214,1,125145214,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125145214,True,https://filingaccess.serff.com/sfa/home/DE,['Amendatory Endorsement'],4/4/07
AAA Life Insurance Company,71854.0,MLTA Endorsements 2016,H02G.000 Health - Accident Only,Form,Closed - Filed,AAAL-130283816,1,130283816,DE,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130283816,True,https://filingaccess.serff.com/sfa/home/DE,"['Member Loyalty Travel Accident Endorsement', 'Member Loyalty Travel Accident Certificate Endorsement']",10/12/15
