Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Aetna Life Insurance Company,60054.0,2014 LAW- Policy Contents Page (ALIC),H16G.001A Any Size Group - PPO,Form,Closed - Approved,AENX-G129967271,1,G129967271,GU,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G129967271,True,https://filingaccess.serff.com/sfa/home/GU,[],ui-button
Aetna Life Insurance Company,60054.0,2021 Guam LG PPO,H16G.002A Large Group Only - PPO,Form,Closed - Approved,AETN-132494072,1,132494072,GU,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132494072,True,https://filingaccess.serff.com/sfa/home/GU,"['Group Health Insurance Agreement', 'Group Health Insurance Agreement', 'PPO (medical) certificate of coverage', 'PPO (medical) certificate of coverage', 'Basic Vision certificate of coverage', 'Basic Vision certificate of coverage', 'PPO (medical) certificate of coverage', 'PPO (medical) certificate of coverage', 'PPO (medical-Foster Plan) schedule of benefits', 'PPO (medical-Foster Plan) schedule of benefits', 'PPO (medical-Retiree Supplemental Plan) schedule of benefits', 'PPO (medical-Retiree Supplemental Plan) schedule of benefits', 'PPO (medical) schedule of benefits', 'PPO (medical) schedule of benefits', 'Basic Vision schedule of benefits', 'Basic Vision schedule of benefits', 'PPO (medical) schedule of benefits', 'PPO (medical) schedule of benefits', 'PPO (medical) certificate of coverage- Retiree Supplemental Plan', 'PPO (medical) certificate of coverage- Retiree Supplemental Plan', 'PPO (medical) certificate of coverage- Foster Plan', 'PPO (medical) certificate of coverage- Foster Plan']",8/13/20
Aetna Life Insurance Company,60054.0,GU Group Dental LG&SG CDENT,H10G.000 Health - Dental,Form,Closed - Approved,AETN-133628405,1,133628405,GU,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133628405,True,https://filingaccess.serff.com/sfa/home/GU,"['Certificate of Coverage', 'Group Policy', 'Schedule of Benefits']",4/18/23
Aetna Life Insurance Company,60054.0,Guam LG PPO,H16G.002A Large Group Only - PPO,Form,Closed - Approved,AETN-132089684,1,132089684,GU,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132089684,True,https://filingaccess.serff.com/sfa/home/GU,"['Group Health Insurance Agreement', 'PPO (medical) certificate of coverage', 'PPO (medical) certificate of coverage', 'Basic Vision certificate of coverage', 'Basic Vision certificate of coverage', 'PPO (medical) certificate of coverage', 'PPO (medical) certificate of coverage', 'PPO (medical-Foster Plan) schedule of benefits', 'Foster Summary Grid', 'PPO (medical-Retiree Supplemental Plan) schedule of benefits', 'Retiree Summary Grid', 'PPO (medical) schedule of benefits', 'PPO (medical) schedule of benefits', 'Basic Vision schedule of benefits', 'Basic Vision schedule of benefits', 'PPO (medical) schedule of benefits', 'PPO (medical) schedule of benefits', 'PPO (medical) certificate of coverage- Retiree Supplemental Plan', 'PPO (medical) certificate of coverage- Foster Plan']",10/11/19
American Family Life Assurance Co.,0.0,A76003R CAncer Indemnity Reinstatement Application,Health,Form,Closed - Approved,GUAM-131397447,1,131397447,GU,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131397447,True,https://filingaccess.serff.com/sfa/home/GU,[],2/26/18
American Family Life Assurance Co.,0.0,Application (2),Health,Form,Closed - Approved,GUAM-131397569,1,131397569,GU,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131397569,True,https://filingaccess.serff.com/sfa/home/GU,[],2/27/18
American Family Life Assurance Co.,0.0,Application for Exchange of Life Policy,Life,Form,Closed - Approved,GUAM-131394930,1,131394930,GU,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131394930,True,https://filingaccess.serff.com/sfa/home/GU,[],2/26/18
American Family Life Assurance Co.,0.0,Applications (x10),Health,Form,Closed - Approved,GUAM-131397572,1,131397572,GU,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131397572,True,https://filingaccess.serff.com/sfa/home/GU,[],2/27/18
American Family Life Assurance Co.,0.0,Applications (x10),Health,Form,Closed - Approved,GUAM-131397482,1,131397482,GU,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131397482,True,https://filingaccess.serff.com/sfa/home/GU,[],2/26/18
American Family Life Assurance Co.,0.0,Applications (x11),Health,Form,Closed - Approved,GUAM-131397446,1,131397446,GU,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131397446,True,https://filingaccess.serff.com/sfa/home/GU,[],2/26/18
