Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
5 Star Life Insurance Company,77879.0,Gap Rider 2024,H25G.001 Any Size Group,Form,Closed - Acknowledged,FIVE-134339970,1,134339970,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134339970,True,https://filingaccess.serff.com/sfa/home/HI,[],ui-button
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - Acknowledged,FIVE-132463743,1,132463743,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132463743,True,https://filingaccess.serff.com/sfa/home/HI,['Endorsement'],7/22/20
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - Acknowledged,FIVE-132208814,1,132208814,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132208814,True,https://filingaccess.serff.com/sfa/home/HI,"['Accident Certificate', 'Accident Certificate', 'Schedule of Benefits', 'Schedule of Benefits', 'Accident Policy', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form']",1/7/20
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form,Closed - Acknowledged,FIVE-132298587,1,132298587,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132298587,True,https://filingaccess.serff.com/sfa/home/HI,"['Policy', 'Certificate', 'Schedule of Benefits']",3/12/20
AAA Life Insurance Company,71854.0,Accident Product,H02I.000 Health - Accident Only,Form/Rate,Closed - Acknowledged,AAAL-131284821,1,131284821,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131284821,True,https://filingaccess.serff.com/sfa/home/HI,"['Accidental Death Insurance Policy', 'Accidental Death Insurance Policy', 'Lifetime Membership Benefit Endorsement', 'Spouse Coverage Rider', 'Child Coverage Rider', 'Additional Airline & Common Carrier Accidental Death Rider', 'Additional Automobile & Pedestrian Accidental Death Rider', 'Premiums']",1/5/18
AAA Life Insurance Company,71854.0,MLTA Endorsements 2016,H02G.000 Health - Accident Only,Form,Closed - Acknowledged,AAAL-130285907,1,130285907,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130285907,True,https://filingaccess.serff.com/sfa/home/HI,"['Member Loyalty Travel Accident Certificate ENdorsement', 'Member Loyalty Travel Accident Certificate Endorsement']",10/14/15
ACE American Insurance Company,22667.0,Blanket Accident,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Withdrawn,ACEH-130766930,1,130766930,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130766930,True,https://filingaccess.serff.com/sfa/home/HI,"['Security Evacuation Expense Benefit Rider', 'Security Evacuation Expense Benefit Extended Coverage Rider']",10/25/16
ACE American Insurance Company,22667.0,Blanket Accident Policy (BTA),H04.000 Health - Blanket Accident/Sickness,Form,Closed - Acknowledged,ACEH-132209861,1,132209861,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132209861,True,https://filingaccess.serff.com/sfa/home/HI,"['Vacation Travel Amendment', 'Vacation Travel Amendment', 'Vacation Travel Rider', 'Vacation Travel Rider']",1/8/20
ACE American Insurance Company,22667.0,Discretionary Group Filing for Blanket Accident,H04.003 Health - Blanket Accident Only,Form,Closed - Withdrawn,ACEH-132338792,1,132338792,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132338792,True,https://filingaccess.serff.com/sfa/home/HI,[],4/15/20
ACE American Insurance Company,22667.0,Discretionary Group Request (BTA),H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-131025510,1,131025510,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131025510,True,https://filingaccess.serff.com/sfa/home/HI,[],5/3/17
ACE American Insurance Company,22667.0,Group Dental Insurance,H10G.000 Health - Dental,Form,Closed - Acknowledged,ACEH-131721174,1,131721174,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131721174,True,https://filingaccess.serff.com/sfa/home/HI,"['Group Dental Certificate', 'Rate Manual Addendum']",11/13/18
ACE American Insurance Company,22667.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form,Closed - Acknowledged,ACEH-130619706,1,130619706,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130619706,True,https://filingaccess.serff.com/sfa/home/HI,['Supplemental Amendment'],6/29/16
ACE American Insurance Company,22667.0,Group Supplemental Medical Expense,H25G.001 Any Size Group,Form,Closed - Acknowledged,ACEH-134704318,1,134704318,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134704318,True,https://filingaccess.serff.com/sfa/home/HI,['Amendment'],10/14/25
ACE American Insurance Company,22667.0,Group Supplemental Medical Expense,H25G.001 Any Size Group,Form,Closed - Acknowledged,ACEH-131981076,1,131981076,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131981076,True,https://filingaccess.serff.com/sfa/home/HI,"['Application', 'Amendment', 'Schedule of Benefits']",7/26/19
ACE American Insurance Company,22667.0,Group Supplemental Medical Expense Insurance,H21.000 Health - Other,Form,Closed - Acknowledged,ACEH-131391229,1,131391229,HI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131391229,True,https://filingaccess.serff.com/sfa/home/HI,"['Application', 'Amendment', 'Schedule of Benefits']",4/11/18
