Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
4 Ever Life Insurance Company,80985.0,4EL 2024 ExPat,H16G.002A Large Group Only - PPO,Form,Closed - Approved,BCSF-134318634,1,134318634,KY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134318634,True,https://filingaccess.serff.com/sfa/home/KY,[],ui-button
4 Ever Life Insurance Company,80985.0,GeoBlue ExPat Rider,H16G.002A Large Group Only - PPO,Form,Closed - Approved,BCSF-134638705,1,134638705,KY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134638705,True,https://filingaccess.serff.com/sfa/home/KY,['Canadian Coverage Rider'],8/15/25
5 Star Life Insurance Company,77879.0,Gap Rider 2024,H25G.001 Any Size Group,Form,Closed - Approved,FIVE-134328841,1,134328841,KY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134328841,True,https://filingaccess.serff.com/sfa/home/KY,"['Supplemental Medical Expense Rider', 'Supplemental Medical Expense Rider']",1/8/25
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - Approved,FIVE-132198454,1,132198454,KY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132198454,True,https://filingaccess.serff.com/sfa/home/KY,"['Accident Certificate', 'Accident Certificate', 'Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Accident Policy', 'Sickness Confinement Rider', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form', 'Enrollment Form']",1/28/20
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - Approved,FIVE-132464108,1,132464108,KY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132464108,True,https://filingaccess.serff.com/sfa/home/KY,['Endorsement'],12/8/20
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form,Closed - Approved,FIVE-132303694,1,132303694,KY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132303694,True,https://filingaccess.serff.com/sfa/home/KY,"['Policy', 'Policy', 'Certificate', 'Certificate', 'Schedule of Benefits']",3/18/20
5 Star Life Insurance Company,77879.0,Group Specified Disease,H07G.001 Critical Illness,Form,Closed - Approved,FIVE-133743216,1,133743216,KY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133743216,True,https://filingaccess.serff.com/sfa/home/KY,['Specified Disease Rider'],8/25/23
AAA Life Insurance Company,71854.0,MLTA 24 Reprice,H02G.000 Health - Accident Only,Form,Closed - Withdrawn,AAAL-134076376,1,134076376,KY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134076376,True,https://filingaccess.serff.com/sfa/home/KY,[],4/21/24
ACE American Insurance Company,22667.0,Blanket Accident Policy (BTA),H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-132217028,1,132217028,KY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132217028,True,https://filingaccess.serff.com/sfa/home/KY,"['Vacation Travel Amendment', 'Vacation Travel Amendment', 'Vacation Travel Amendment', 'Vacation Travel Rider', 'Vacation Travel Rider', 'Vacation Travel Rider']",1/10/20
ACE American Insurance Company,22667.0,Business Travel Policy,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-132177535,1,132177535,KY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132177535,True,https://filingaccess.serff.com/sfa/home/KY,"['Business Travel Policy', 'Business Travel Policy', 'Certificate of Insurance', 'Certificate of Insurance', 'Out of Country Travel Medical Rider', 'Out of Country Travel Medical Rider', 'Disruption Rider', 'Serious Disruption (Security) Rider', 'Property Rider', 'Application', 'War Risk Rider', 'Administrative Amendment']",12/6/19
