Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002A Large Group Only - PPO,Form,Closed - Forms Approved - Rates Accepted Filed,BCSF-130872945,1,130872945,LA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130872945,True,https://filingaccess.serff.com/sfa/home/LA,[],ui-button
4 Ever Life Insurance Company,80985.0,4EL 2024 ExPat,H16G.002A Large Group Only - PPO,Form,Closed - Forms Approved - Rates Accepted Filed,BCSF-134240787,1,134240787,LA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134240787,True,https://filingaccess.serff.com/sfa/home/LA,"['Group Certificate', 'Schedule of Benefits', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Emergency Services Care inside the United States', 'Travel Rider', 'Group Application', 'Sample ID Card', 'CW Expat Rate MaNual 2024']",9/26/24
4 Ever Life Insurance Company,80985.0,GeoBlue ExPat Rider,H16G.002A Large Group Only - PPO,Form,Closed - Approved,BCSF-134641805,1,134641805,LA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134641805,True,https://filingaccess.serff.com/sfa/home/LA,['Canadian Coverage Rider'],8/18/25
5 Star Life Insurance Company,77879.0,Gap Product 2024,H15G.001 Any Size Group,Form/Rate,Closed - Approved,FIVE-134339163,1,134339163,LA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134339163,True,https://filingaccess.serff.com/sfa/home/LA,"['Supplemental Medical Expense Rider', 'Rate Manual']",4/7/25
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form/Rate,Closed - Forms Approved - Rates Accepted Filed,FIVE-132198455,1,132198455,LA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132198455,True,https://filingaccess.serff.com/sfa/home/LA,"['Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form', 'Base Accident Rating Manual', 'Sickness Rider Rating Manual']",1/23/20
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form/Rate,Closed - Forms Approved - Rates Accepted Filed,FIVE-132329267,1,132329267,LA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132329267,True,https://filingaccess.serff.com/sfa/home/LA,"['Policy', 'Certificate', 'Schedule of Benefits', 'Group Application', 'Enrollment Form', 'Rating Manual']",4/16/20
AAA Life Insurance Company,71854.0,Accident Product,H02I.000 Health - Accident Only,Form/Rate,Closed - Forms Approved - Rates Accepted Filed,AAAL-131284917,1,131284917,LA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131284917,True,https://filingaccess.serff.com/sfa/home/LA,"['Accidental Death Insurance Policy', 'Lifetime Membership Benefit Endorsement', 'Spouse Coverage Rider', 'Child Coverage Rider', 'Additional Airline & Common Carrier Accidental Death Rider', 'Additional Automobile & Pedestrian Accidental Death Rider', 'Acceptance Form', 'Premiums']",12/29/17
AAA Life Insurance Company,71854.0,LA MLTA Certificate 2016,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Forms Approved - Rates Accepted Filed,AAAL-130326438,1,130326438,LA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130326438,True,https://filingaccess.serff.com/sfa/home/LA,"['Member Loyalty Travel Accident Certificate', 'Member Participation Form', 'Member Loyalty Travel Accident Insurance Policy', 'Application for Group Master Policy']",11/11/15
ACE American Insurance Company,22667.0,Accident and Sickness Advertising Certification,H21.000 Health - Other,Informational,Closed - Acknowledged/Info,ACEH-130940011,1,130940011,LA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130940011,True,https://filingaccess.serff.com/sfa/home/LA,[],2/27/17
ACE American Insurance Company,22667.0,Blanket Accident & Sickness Policy (GLM),H04.000 Health - Blanket Accident/Sickness,Form/Rate,Closed - Forms Approved - Rates Accepted Filed,ACEH-131023565,1,131023565,LA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131023565,True,https://filingaccess.serff.com/sfa/home/LA,"['Blanket Accident & Sickness Policy', 'War Risk Rider', 'Blanket Accident & Sickness Administrative Amendment', 'Blanket Accident & Sickness Master Application', 'Out-of-Country Medical Expense Benefit Rider', 'Blanket Accident & Sickness Enrollment Form', 'Kidnap and Extortion Expense Benefit Rider', 'Security Evacuation Expense Benefit Rider', 'Security Evacuation Expense Benefit Extended Coverage Rider', 'Blanket Accident & Sickness Certificate']",11/21/17
