Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Security Mutual Life Insurance Company of New York,68772.0,2016 SML-Revised-MVM,H02G.000 Health - Accident Only,Form,Closed - Closed,CMPL-130411966,1,130411966,MD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130411966,True,https://filingaccess.serff.com/sfa/home/MD,[],ui-button
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002C Large Group Only - Other,Form/Rate,Closed - Closed,BCSF-130938447,1,130938447,MD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130938447,True,https://filingaccess.serff.com/sfa/home/MD,"['Group Certificate', 'Group Policy', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Group Application', 'Group Certificate', 'Group Certificate', 'Group Certificate', 'Group Certificate', 'Group Certificate', 'Group Certificate', 'Group Certificate', 'Group Policy', 'Group Policy', 'Dental Rider', 'Dental Rider', 'AD & D Rider', 'AD & D Rider', 'Vision Rider', 'Vision Rider', 'Medical Assistance Rider', 'Rate Manual', 'Rate Manual']",2/27/17
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form/Rate,Closed - Closed,FIVE-132907240,1,132907240,MD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132907240,True,https://filingaccess.serff.com/sfa/home/MD,"['Group Accident Policy', 'Group Accident Certificate', 'Schedule of Benefits', 'Sickness Confinement Rider', 'Application', 'Enrollment Form', 'Group Accident Policy', 'Group Accident Policy', 'Group Accident Policy', 'Group Accident Certificate', 'Group Accident Certificate', 'Schedule of Benefits', 'Sickness Confinement Rider', 'Sickness Confinement Rider', 'Application', 'Enrollment Form', 'Rate Manual - Policy', 'Rate Manual - Rider', 'Rate Manual - Policy', 'Rate Manual - Policy', 'Rate Manual - Policy', 'Rate Manual - Rider', 'Rate Manual - Rider', 'Rate Manual - Rider', 'Rate Manual - Rider']",8/26/21
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form/Rate,Closed - Closed,FIVE-132795329,1,132795329,MD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132795329,True,https://filingaccess.serff.com/sfa/home/MD,"['Policy', 'Certificate', 'Schedule of Benefits', 'Group Master Application', 'Group Enrollment Form', 'Certificate', 'Certificate', 'Group Master Application', 'Group Master Application', 'Group Enrollment Form', 'Group Enrollment Form', '5Star.Group HI.RateManual', '5Star.Group HI.RateManual', '5Star.Group HI.RateManual']",2/14/22
5 Star Life Insurance Company,77879.0,Group Specified Disease,H07G.001 Critical Illness,Form/Rate,Closed - Closed,FIVE-133586805,1,133586805,MD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133586805,True,https://filingaccess.serff.com/sfa/home/MD,"['Specified Disease Rider', '5SHIPOLRIDER1.SD-MD', '5Star.Specified Disease.Act Memo.20220127', '5Star.Specified Disease.Act Memo.20220127']",3/22/23
AAA Life Insurance Company,71854.0,Accident Product,H03I.000 Health - Accidental Death & Dismemberment,Form/Rate,Closed - Closed,AAAL-131334696,1,131334696,MD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131334696,True,https://filingaccess.serff.com/sfa/home/MD,"['Accidental Death Insurance Policy', 'Lifetime Membership Benefit Endorsement', 'Spouse Coverage Rider', 'Child Coverage Rider', 'Additional Airline & Common Carrier Accidental Death Rider', 'Additional Automobile & Pedestrian Accidental Death Rider', 'Accidental Death Insurance Policy', 'Accidental Death Insurance Policy', 'Accidental Death Insurance Policy', 'Accidental Death Insurance Policy', 'Premiums']",1/11/18
AAA Life Insurance Company,71854.0,Accident Product Health Riders,H14I.000 Health - Hospital Indemnity,Form/Rate,Closed - Closed,AAAL-131864780,1,131864780,MD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131864780,True,https://filingaccess.serff.com/sfa/home/MD,"['Emergency Room Rider', 'Hospitalization Rider', 'Recuperation Rider', 'Premiums']",3/21/19
AAA Life Insurance Company,71854.0,MLTA Endorsements 2016,H02G.000 Health - Accident Only,Form,Closed - Received and Filed,AAAL-130293208,1,130293208,MD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130293208,True,https://filingaccess.serff.com/sfa/home/MD,"['Member Loyalty Travel Accident Certificate Endorsement', 'Member Loyalty Travel Accident Certificate Endorsement']",10/19/15
"AccessCare General, Inc.",14158.0,Prepaid Dental Filing,H10I.000 Health - Dental,Form/Rate,Closed - Closed,ACCR-130762385,1,130762385,MD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130762385,True,https://filingaccess.serff.com/sfa/home/MD,"['Individual Prepaid Limited Benefit In-Facility Dental Policy', 'Application For Limited Benefit In-Facility Dental Policy', 'Individual Prepaid Limited Benefit In-Facility Dental Policy', 'Individual Prepaid Limited Benefit In-Facility Dental Policy', 'Individual Prepaid Limited Benefit In-Facility Dental Policy', 'Application For Limited Benefit In-Facility Dental Policy', 'Participating Dentist Agreement', 'Provider Network Agreement', 'Rates']",10/12/16
"AccessCare General, Inc.",14158.0,Prepaid Dental Filing,H10I.000 Health - Dental,Form,Closed - Closed,ACCR-130996108,1,130996108,MD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130996108,True,https://filingaccess.serff.com/sfa/home/MD,"['Application', 'Application']",4/11/17
