Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Security Mutual Life Insurance Company of New York,68772.0,2016 SML-Revised-MVM,H02G.000 Health - Accident Only,Form,Closed - Filed for Information,CMPL-130411965,1,130411965,ME,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130411965,True,https://filingaccess.serff.com/sfa/home/ME,[],ui-button
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002C Large Group Only - Other,Form/Rate,Closed - Approved,BCSF-130865482,1,130865482,ME,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130865482,True,https://filingaccess.serff.com/sfa/home/ME,"['Group Certificate', 'Group Policy', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Group Application', 'Rate Manual']",1/10/17
4 Ever Life Insurance Company,80985.0,4EL 2024 ExPat,H16G.002C Large Group Only - Other,Form,Closed - Approved,BCSF-134438536,1,134438536,ME,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134438536,True,https://filingaccess.serff.com/sfa/home/ME,"['Group Policy', 'Group Certificate', 'Schedule of Benefits', 'Dental Services Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Emergency Services Care in the US Rider', 'Travel Benefit Rider', 'Group Application', 'Summary of Benefits', 'Rate Manual']",5/8/25
4 Ever Life Insurance Company,80985.0,Form 28.1302 Blanket Student Accident & Sickness -,H04.001 Student,Form,Closed - Approved,MCHX-G128663771,1,G128663771,ME,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128663771,True,https://filingaccess.serff.com/sfa/home/ME,"['Group Policy', 'Group Certificate', 'Schedule of Benefits', 'Dental Services Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Emergency Services Care in the US Rider', 'Travel Benefit Rider', 'Group Application', 'Summary of Benefits', 'Rate Manual']",5/8/25
4 Ever Life Insurance Company,80985.0,Form 28.1322 Blanket Student Accident & Sickness,H04.001 Student,Form,Closed - Approved,MCHX-128973144,1,128973144,ME,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128973144,True,https://filingaccess.serff.com/sfa/home/ME,"['Blanket Short Term Student Accident and Sickness Policy', 'Blanket Short Term Student Accident and Sickness Certificate', 'Blanket Short Term Student Accident and Sickness Master Application', 'Offer of Benefits Notice Form']",4/8/13
4 Ever Life Insurance Company,80985.0,Form 55.202 Business Traveler Blanket Insurance -,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,MCHX-G128779452,1,G128779452,ME,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128779452,True,https://filingaccess.serff.com/sfa/home/ME,"['Blanket Short Term Student Accident and Sickness Policy', 'Blanket Short Term Student Accident and Sickness Certificate', 'Blanket Short Term Student Accident and Sickness Master Application', 'Offer of Benefits Notice Form']",4/8/13
4 Ever Life Insurance Company,80985.0,Group Major Medical Program,H16G.002C Large Group Only - Other,Form/Rate,Closed - Approved,BCSF-127274020,1,127274020,ME,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127274020,True,https://filingaccess.serff.com/sfa/home/ME,"['group application', 'group policy', 'group certificate', 'enrollment form', 'rate manual']",6/15/11
5 Star Life Insurance Company,77879.0,GMTCERT-ADD-ME,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,USPH-6HZKUG458/00-00/00-00/00,1,6HZKUG458/00,ME,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6HZKUG458/00,True,https://filingaccess.serff.com/sfa/home/ME,"['group application', 'group policy', 'group certificate', 'enrollment form', 'rate manual']",6/15/11
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form/Rate,Closed - Approved,FIVE-132198456,1,132198456,ME,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132198456,True,https://filingaccess.serff.com/sfa/home/ME,"['Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form', 'Outline of Coverage', 'Base Accident Rating Manual', 'Sickness Rider Rating Manual']",4/20/20
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form/Rate,Closed - Approved,FIVE-132464155,1,132464155,ME,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132464155,True,https://filingaccess.serff.com/sfa/home/ME,"['Endorsement', 'Exhibit 1 - Rates']",7/30/20
