Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
4 Ever Life Insurance Company,80985.0,4 EL Dental,H10G.000 Health - Dental,Form/Rate,Closed - Approved - Forms and Rates (08),BCSF-132061486,1,132061486,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132061486,True,https://filingaccess.serff.com/sfa/home/MN,[],ui-button
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002C Large Group Only - Other,Form/Rate,Closed - Approved - Forms and Rates (08),BCSF-130900729,1,130900729,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130900729,True,https://filingaccess.serff.com/sfa/home/MN,"['Group Certificate', 'Group Policy', 'Group Application', 'Enrollment Form', 'Rate Manual']",2/3/17
4 Ever Life Insurance Company,80985.0,4EL 2024 ExPat,H16G.002C Large Group Only - Other,Form/Rate,Closed - Approved - Forms and Rates (08),BCSF-134206394,1,134206394,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134206394,True,https://filingaccess.serff.com/sfa/home/MN,"['Group Policy', 'Group Certificate', 'Schedule of Benefits', 'Group Application']",9/16/24
4 Ever Life Insurance Company,80985.0,GeoBlue ExPat Rider,H16G.002A Large Group Only - PPO,Form,Closed - Approved - Forms Only,BCSF-134642125,1,134642125,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134642125,True,https://filingaccess.serff.com/sfa/home/MN,['Canadian Coverage Rider'],8/18/25
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form/Rate,Closed - Approved - Forms and Rates (08),FIVE-132198460,1,132198460,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132198460,True,https://filingaccess.serff.com/sfa/home/MN,"['Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form', 'Base Accident Rating Manual', 'Sickness Rider Rating Manual']",2/7/20
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form/Rate,Closed - Approved - Forms and Rates (08),FIVE-132464277,1,132464277,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132464277,True,https://filingaccess.serff.com/sfa/home/MN,"['Endorsement', 'Exhibit 1 - Rates']",12/8/20
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form/Rate,Closed - Approved - Forms and Rates (08),FIVE-132304121,1,132304121,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132304121,True,https://filingaccess.serff.com/sfa/home/MN,"['Policy', 'Certificate', 'Schedule of Benefits', 'Rating Manual']",3/22/20
AAA Life Insurance Company,71854.0,MLTA 24 Reprice MN,H02G.000 Health - Accident Only,Form/Rate,Closed - Approved - Forms and Rates (08),AAAL-134308118,1,134308118,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134308118,True,https://filingaccess.serff.com/sfa/home/MN,"['Loyalty Travel Accident Insurance Policy', 'Enrollment Form']",11/21/24
AAA Life Insurance Company,71854.0,MLTA 24 Reprice MN Signature Update,H02G.000 Health - Accident Only,Form,Closed - Approved - Forms Only,AAAL-134673143,1,134673143,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134673143,True,https://filingaccess.serff.com/sfa/home/MN,['Loyalty Travel Accident Insurance Policy'],9/16/25
ACE American Insurance Company,22667.0,Blanket Accident Policy (BTA),H04.000 Health - Blanket Accident/Sickness,Form/Rate,Closed - Approved - Forms and Rates (08),ACEH-132220923,1,132220923,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132220923,True,https://filingaccess.serff.com/sfa/home/MN,"['Vacation Travel Amendment', 'Vacation Travel Rider', 'Rate Manual']",1/16/20
ACE American Insurance Company,22667.0,Blanket and Group Amendments,H21.000 Health - Other,Form,Closed - Approved - Forms Only,ACEH-125055011,1,125055011,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125055011,True,https://filingaccess.serff.com/sfa/home/MN,[],12/6/06
ACE American Insurance Company,22667.0,Group Accident Policy - Critical Illness and Artificial Means Amendment,AD&D (56),Forms and Rates,Closed - Withdrawn at Our Request (67),SERT-6FRR48206/00-00/00-00/00,1,6FRR48206/00,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6FRR48206/00,True,https://filingaccess.serff.com/sfa/home/MN,[],12/6/06
ACE American Insurance Company,22667.0,Group Dental,H10G.000 Health - Dental,Form,Closed - Approved as per Instructions from,ACEH-128285319,1,128285319,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128285319,True,https://filingaccess.serff.com/sfa/home/MN,"['Group Dental Certificate of Insurance', 'Group Dental Policy']",4/19/12
ACE American Insurance Company,22667.0,Group Dental Certificate Revision,H10G.000 Health - Dental,Form/Rate,Closed - Approved as per Instructions from,ACEH-130241871,1,130241871,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130241871,True,https://filingaccess.serff.com/sfa/home/MN,"['Group Dental Certificate of Insurance', 'Rate Manual']",9/11/15
ACE American Insurance Company,22667.0,Group Dental Insurance,H10G.000 Health - Dental,Form/Rate,Closed - Approved - Forms and Rates (08),ACEH-131593174,1,131593174,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131593174,True,https://filingaccess.serff.com/sfa/home/MN,"['Group Dental Certificate', 'Rate Manual Addendum']",10/30/18
ACE American Insurance Company,22667.0,Group Dental Policy,Dental (46),Forms and Rates,Closed - Approved as per Instructions from,SERT-6CFSPN888/00-00/00-00/00,1,6CFSPN888/00,MN,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6CFSPN888/00,True,https://filingaccess.serff.com/sfa/home/MN,"['Group Dental Certificate', 'Rate Manual Addendum']",10/30/18
