Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Security Mutual Life Insurance Company of New York,68772.0,SML-LTD 2015,H11G.003 Long Term,Form,Closed - Withdrawn by Company,CMPL-130217474,1,130217474,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130217474,True,https://filingaccess.serff.com/sfa/home/MT,[],ui-button
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002C Large Group Only - Other,Form,Closed - Approved,BCSF-130887381,1,130887381,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130887381,True,https://filingaccess.serff.com/sfa/home/MT,"['Group Certificate', 'Group Certificate', 'Group Policy', 'Group Policy', 'Dental Rider', 'Dental Rider', 'AD & D Rider', 'AD & D Rider', 'Vision Rider', 'Vision Rider', 'Medical Assistance Rider', 'Medical Assistance Rider', 'Group Application', 'Outline of Coverage']",1/20/17
4 Ever Life Insurance Company,80985.0,Form 28.1302 Blanket Student Accident & Sickness -,H04.001 Student,Form,Closed - Approved,MCHX-G128440019,1,G128440019,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128440019,True,https://filingaccess.serff.com/sfa/home/MT,"['Group Certificate', 'Group Certificate', 'Group Policy', 'Group Policy', 'Dental Rider', 'Dental Rider', 'AD & D Rider', 'AD & D Rider', 'Vision Rider', 'Vision Rider', 'Medical Assistance Rider', 'Medical Assistance Rider', 'Group Application', 'Outline of Coverage']",1/20/17
4 Ever Life Insurance Company,80985.0,Form 28.1322 Blanket Student Study Abroad Accident,H04.001 Student,Form,Closed - Approved,MCHX-G128654336,1,G128654336,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128654336,True,https://filingaccess.serff.com/sfa/home/MT,"['Group Certificate', 'Group Certificate', 'Group Policy', 'Group Policy', 'Dental Rider', 'Dental Rider', 'AD & D Rider', 'AD & D Rider', 'Vision Rider', 'Vision Rider', 'Medical Assistance Rider', 'Medical Assistance Rider', 'Group Application', 'Outline of Coverage']",1/20/17
4 Ever Life Insurance Company,80985.0,Form 55.202 Business Traveler Blanket Insurance -,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,MCHX-129033683,1,129033683,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129033683,True,https://filingaccess.serff.com/sfa/home/MT,"['Supplemental Blanket Travel Plan Policy', 'Supplemental Blanket Travel Plan Certificate', 'Outline of Coverage', 'Master Application']",5/17/13
4 Ever Life Insurance Company,80985.0,Group Major Medical Insurance,H15G.001 Any Size Group,Form,Closed - Closed pending Legal Review of PPO language,BCSF-127749558,1,127749558,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127749558,True,https://filingaccess.serff.com/sfa/home/MT,"['certificate of insurance', 'employer application', 'AD&D Benefit Rider', 'Bedside Visit Rider', 'Dental Care Rider', 'Home Health Care Rider', 'Hospice Care Rider', 'Infertility Benefit Rider', 'Medical Evacuation Rider', 'Parental Accommodations Rider', 'Annual Exam - Preventive Services Rider', 'Repatriation of Remains Rider', 'Travel Vaccination & Immunization Rider', 'Vision Care Benefit Rider', 'Prescription Drug Benefit Rider', 'Hearing Services Benefit Rider', 'Outline of Coverage', 'group policy']",10/21/11
5 Star Life Insurance Company,77879.0,Gap Rider 2024,H25G.001 Any Size Group,Form,Closed - Approved,FIVE-134372607,1,134372607,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134372607,True,https://filingaccess.serff.com/sfa/home/MT,['Supplemental Medical Expense Rider'],1/22/25
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - Approved,FIVE-132198464,1,132198464,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132198464,True,https://filingaccess.serff.com/sfa/home/MT,"['Accident Certificate', 'Accident Certificate', 'Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Accident Policy', 'Accident Policy', 'Sickness Confinement Rider', 'Sickness Confinement Rider', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form', 'Outline of Coverage', 'Outline of Coverage', 'Outline of Coverage', 'Outline of Coverage', 'Endorsement']",4/20/20
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form,Closed - Approved,FIVE-132347947,1,132347947,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132347947,True,https://filingaccess.serff.com/sfa/home/MT,"['Policy', 'Policy', 'Policy', 'Policy', 'Policy', 'Certificate', 'Certificate', 'Certificate', 'Schedule of Benefits', 'Schedule of Benefits', 'Outline of Coverage', 'Outline of Coverage', 'Outline of Coverage']",4/23/20
AAA Life Insurance Company,71854.0,Accident Product,H02I.000 Health - Accident Only,Form,Closed - Approved,AAAL-131285131,1,131285131,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131285131,True,https://filingaccess.serff.com/sfa/home/MT,"['Accidental Death Insurance Policy', 'Accidental Death Insurance Policy', 'Lifetime Membership Benefit Endorsement', 'Spouse Coverage Rider', 'Child Coverage Rider', 'Child Coverage Rider', 'Additional Airline & Common Carrier Accidental Death Rider', 'Additional Automobile & Pedestrian Accidental Death Rider', 'Outline of Coverage']",1/31/18
AAA Life Insurance Company,71854.0,Hospital Indemnity Riders,H14I.000 Health - Hospital Indemnity,Form,Closed - Approved,PYMT-126492991,1,126492991,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126492991,True,https://filingaccess.serff.com/sfa/home/MT,"['Accidental Death Benefit Rider and Schedule', 'Accident Only Hospital Indemnity Benefit Rider and Schedule', 'After Hospital Benefit Rider and Schedule', 'Extra Dailiy Benefit Rider and Schedule', 'Intensive Care Benefit Rider and Schedule', 'Hospital Confinement Benefit Rider and Schedule', 'Accident Intensive Care Benefit Rider and Schedule', 'Surgical and Dismemberment Benefit Rider and Schedule', 'Home Recovery Benefit Rider and Schedule', 'Hospital Confinement Benefit Rider and Schedule', 'B380-STD-120709', 'B381-STD-120709', 'B382-STD-120709', 'B383-STD-120709', 'B384-STD-120709', 'B385-STD-120709', 'B386-STD-120709', 'B387-STD-120709', 'B388-STD-120709', 'B389-STD-120709']",2/25/10
AAA Life Insurance Company,71854.0,MLTA 2010 Act Memo Revision,H02G.000 Health - Accident Only,Form,Closed - Filed for Information,AAAL-126767550,1,126767550,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126767550,True,https://filingaccess.serff.com/sfa/home/MT,[],8/13/10
AAA Life Insurance Company,71854.0,MLTA Endorsements 2013,H02G.000 Health - Accident Only,Form,Closed - Approved,AAAL-128860215,1,128860215,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128860215,True,https://filingaccess.serff.com/sfa/home/MT,"['AAA Member Loyalty Travel Accident Endorsement', 'AAA Member Loyalty Travel Certificate Endorsement']",3/29/13
AAA Life Insurance Company,71854.0,MLTA Endorsements 2016,H02G.000 Health - Accident Only,Form,Closed - Approved,AAAL-130294067,1,130294067,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130294067,True,https://filingaccess.serff.com/sfa/home/MT,"['AAA Member Loyalty Travel Accident Endorsement', 'AAA Member Loyalty Travel Certificate Endorsement']",10/20/15
AAA Life Insurance Company,71854.0,MLTA-08,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-125559051,1,125559051,MT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125559051,True,https://filingaccess.serff.com/sfa/home/MT,['Member Loyalty Travel Accident Certificate of Insurance'],4/10/08
