Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002C Large Group Only - Other,Form/Rate,Closed - Approved,BCSF-130852680,1,130852680,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130852680,True,https://filingaccess.serff.com/sfa/home/ND,[],ui-button
4 Ever Life Insurance Company,80985.0,4EL 2024 ExPat,H16G.002C Large Group Only - Other,Form,Closed - Approved,BCSF-134348207,1,134348207,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134348207,True,https://filingaccess.serff.com/sfa/home/ND,"['Group Certificate', 'Schedule of Benefits', 'Dental Services Rider', 'AD & D Rider', 'Vision Care Rider', 'Medical Assistance Rider', 'Travel Benefit Rider', 'Emergency Services Care in the US Rider', 'Group Application']",12/13/24
4 Ever Life Insurance Company,80985.0,Form 28.1302 Blanket Student Accident & Sickness -,H04.001 Student,Form/Rate,Closed - Approved,MCHX-G128106540,1,G128106540,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128106540,True,https://filingaccess.serff.com/sfa/home/ND,"['Group Certificate', 'Schedule of Benefits', 'Dental Services Rider', 'AD & D Rider', 'Vision Care Rider', 'Medical Assistance Rider', 'Travel Benefit Rider', 'Emergency Services Care in the US Rider', 'Group Application']",12/13/24
4 Ever Life Insurance Company,80985.0,Form 28.1322 Blanket Student Study Abroad Accident,H04.001 Student,Form/Rate,Closed - Approved,MCHX-G128609970,1,G128609970,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128609970,True,https://filingaccess.serff.com/sfa/home/ND,"['Group Certificate', 'Schedule of Benefits', 'Dental Services Rider', 'AD & D Rider', 'Vision Care Rider', 'Medical Assistance Rider', 'Travel Benefit Rider', 'Emergency Services Care in the US Rider', 'Group Application']",12/13/24
4 Ever Life Insurance Company,80985.0,Form 54.1402 - 4 Ever Life Global Citizens Short T,H16G.004 Short Term,Form/Rate,Closed - Approved,MCHX-G128616148,1,G128616148,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128616148,True,https://filingaccess.serff.com/sfa/home/ND,"['Group Certificate', 'Schedule of Benefits', 'Dental Services Rider', 'AD & D Rider', 'Vision Care Rider', 'Medical Assistance Rider', 'Travel Benefit Rider', 'Emergency Services Care in the US Rider', 'Group Application']",12/13/24
4 Ever Life Insurance Company,80985.0,Form 55.1301 4 Ever Life Travel Gap - Short Term M,H19G.000 Health - Travel,Form/Rate,Closed - Approved,MCHX-G128617862,1,G128617862,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128617862,True,https://filingaccess.serff.com/sfa/home/ND,"['Group Certificate', 'Schedule of Benefits', 'Dental Services Rider', 'AD & D Rider', 'Vision Care Rider', 'Medical Assistance Rider', 'Travel Benefit Rider', 'Emergency Services Care in the US Rider', 'Group Application']",12/13/24
4 Ever Life Insurance Company,80985.0,Form 55.202 Business Traveler Blanket Insurance -,H04.000 Health - Blanket Accident/Sickness,Form/Rate,Closed - Approved,MCHX-G128500610,1,G128500610,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128500610,True,https://filingaccess.serff.com/sfa/home/ND,"['Group Certificate', 'Schedule of Benefits', 'Dental Services Rider', 'AD & D Rider', 'Vision Care Rider', 'Medical Assistance Rider', 'Travel Benefit Rider', 'Emergency Services Care in the US Rider', 'Group Application']",12/13/24
4 Ever Life Insurance Company,80985.0,GeoBlue ExPat Rider,H16G.002A Large Group Only - PPO,Form,Closed - Approved,BCSF-134642000,1,134642000,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134642000,True,https://filingaccess.serff.com/sfa/home/ND,['Canadian Coverage Rider'],8/18/25
4 Ever Life Insurance Company,80985.0,Group Major Medical,H16G.002C Large Group Only - Other,Form/Rate,Closed - Approved,BCSF-127863336,1,127863336,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127863336,True,https://filingaccess.serff.com/sfa/home/ND,"['Certificate of Coverage', 'Certificate of Coverage', 'Group Application / Request to Participate', 'Rate Manual']",2/10/12
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form/Rate,Closed - Approved,FIVE-132465484,1,132465484,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132465484,True,https://filingaccess.serff.com/sfa/home/ND,"['Endorsement', 'Exhibit 1 - Rates']",12/8/20
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form/Rate,Closed - Approved,FIVE-132198473,1,132198473,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132198473,True,https://filingaccess.serff.com/sfa/home/ND,"['Accident Certificate', 'Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Sickness Confinement Rider Removed', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form', 'Base Accident Rating Manual', 'Sickness Rider Rating Manual']",2/7/20
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form/Rate,Closed - Approved,FIVE-132329290,1,132329290,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132329290,True,https://filingaccess.serff.com/sfa/home/ND,"['Policy', 'Certificate', 'Certificate', 'Certificate', 'Schedule of Benefits', 'Schedule of Benefits', 'Rating Manual', 'Rating Manual']",4/8/20
[]Metropolitan Life Insurance Company,-99.0,Group Life & Accident & Health Insurance Forms,Accidental death/or dismemberment,Form,Closed - Approved,SERT-4ZEL8E985/00-00/00-00/00,1,4ZEL8E985/00,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=4ZEL8E985/00,True,https://filingaccess.serff.com/sfa/home/ND,"['Policy', 'Certificate', 'Certificate', 'Certificate', 'Schedule of Benefits', 'Schedule of Benefits', 'Rating Manual', 'Rating Manual']",4/8/20
[]Metropolitan Life Insurance Company,-99.0,Group Term Life & Accident & Health Insurance Form,Accidental death/or dismemberment,Form,Closed - Approved,SERT-4XNK8F122/00-00/00-00/00,1,4XNK8F122/00,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=4XNK8F122/00,True,https://filingaccess.serff.com/sfa/home/ND,"['Policy', 'Certificate', 'Certificate', 'Certificate', 'Schedule of Benefits', 'Schedule of Benefits', 'Rating Manual', 'Rating Manual']",4/8/20
[]Monumental Life Insurance Company,-99.0,Financial Supplement Questionnaire,Disability income-long term,Form,Closed - Approved,SERT-4ZVQVF434/00-00/00-00/00,1,4ZVQVF434/00,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=4ZVQVF434/00,True,https://filingaccess.serff.com/sfa/home/ND,"['Policy', 'Certificate', 'Certificate', 'Certificate', 'Schedule of Benefits', 'Schedule of Benefits', 'Rating Manual', 'Rating Manual']",4/8/20
[]Transamerica Life Insurance Company,-99.0,Accidental Death,Accidental death/or dismemberment,Form,Closed - Disapproved,SERT-4YZQK6248/00-00/00-00/00,1,4YZQK6248/00,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=4YZQK6248/00,True,https://filingaccess.serff.com/sfa/home/ND,"['Policy', 'Certificate', 'Certificate', 'Certificate', 'Schedule of Benefits', 'Schedule of Benefits', 'Rating Manual', 'Rating Manual']",4/8/20
AAA Life Insurance Company,71854.0,Accident Product,H02I.000 Health - Accident Only,Form/Rate,Closed - Approved,AAAL-131285176,1,131285176,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131285176,True,https://filingaccess.serff.com/sfa/home/ND,"['Accidental Death Insurance Policy', 'Accidental Death Insurance Policy', 'Lifetime Membership Benefit Endorsement', 'Spouse Coverage Rider', 'Child Coverage Rider', 'Additional Airline & Common Carrier Accidental Death Rider', 'Additional Automobile & Pedestrian Accidental Death Rider', 'Premiums']",1/4/18
AAA Life Insurance Company,71854.0,Certificate Amendment – PAI-CERT-AMEND,H02G.000 Health - Accident Only,Form,Closed - Approved,AAAL-129281599,1,129281599,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129281599,True,https://filingaccess.serff.com/sfa/home/ND,['Certificate Amendment'],11/5/13
AAA Life Insurance Company,71854.0,GA80081 ET AL,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-125606417,1,125606417,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125606417,True,https://filingaccess.serff.com/sfa/home/ND,"['Group Accident Insurance Certficiate', 'Group Accident Insurance Certficiate', 'Common Carrier & Scheduled Airline Travel Accident Endorsement', 'Enrollment Form']",4/11/08
AAA Life Insurance Company,71854.0,MLTA 2010 Act Memo Revision,H02G.000 Health - Accident Only,Form,Closed - Informational,AAAL-126767554,1,126767554,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126767554,True,https://filingaccess.serff.com/sfa/home/ND,[],8/13/10
AAA Life Insurance Company,71854.0,MLTA Endorsement,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-125152611,1,125152611,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125152611,True,https://filingaccess.serff.com/sfa/home/ND,['Amendatory Endorsement'],4/12/07
AAA Life Insurance Company,71854.0,MLTA Endorsements 2013,H02G.000 Health - Accident Only,Form,Closed - Approved,AAAL-128860222,1,128860222,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128860222,True,https://filingaccess.serff.com/sfa/home/ND,"['Member Loyalty Travel Accident Certificate Endorsement', 'Member Loyalty Travel Accident CErtificate Endorsement']",3/26/13
AAA Life Insurance Company,71854.0,MLTA Endorsements 2016,H02G.000 Health - Accident Only,Form,Closed - Approved,AAAL-130296042,1,130296042,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130296042,True,https://filingaccess.serff.com/sfa/home/ND,"['Member Loyalty Travel Accident Certificate Endorsement', 'Member Loyalty Travel Accident Certificate Endorsement', 'Member Loyalty Travel Accident CErtificate Endorsement', 'Member Loyalty Travel Accident CErtificate Endorsement']",10/21/15
AAA Life Insurance Company,71854.0,MLTA-08,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-125766398,1,125766398,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125766398,True,https://filingaccess.serff.com/sfa/home/ND,['Member Loyalty Travel Accident Certificate of Insurance'],8/7/08
AAA Life Insurance Company,71854.0,MLTA-08 2010 Riders/Ultra,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-126597863,1,126597863,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126597863,True,https://filingaccess.serff.com/sfa/home/ND,"['Additional Accidental Death Benefit Rider', 'Additional Accidental Hospital Benefit Rider', 'Airline Benefit Increase Rider', 'Recuperation Extension Benefit Rider', 'Spouse Benefit Increase Rider']",4/29/10
AAA Life Insurance Company,71854.0,MPA & CC Endorsement,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-125329520,1,125329520,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125329520,True,https://filingaccess.serff.com/sfa/home/ND,"['Group Accident Insurance Certificate', 'Group Accident Insurance Certificate', 'Common Carrier & Scheduled Airline Travel Accident Endorsement']",10/19/07
AAA Life Insurance Company,71854.0,PAI,Accidental death/or dismemberment,Form,Closed - Approved,USPH-6SBKL9352/00-00/00-00/00,1,6SBKL9352/00,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6SBKL9352/00,True,https://filingaccess.serff.com/sfa/home/ND,"['Group Accident Insurance Certificate', 'Group Accident Insurance Certificate', 'Common Carrier & Scheduled Airline Travel Accident Endorsement']",10/19/07
Ability Insurance Company,71471.0,ND Assumption Reinsurance - ML,H01.000 Health - Assumption Agreement,Form,Closed - Approved,MDTP-126228806,1,126228806,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126228806,True,https://filingaccess.serff.com/sfa/home/ND,"['Assumption Certificate Ability', 'Assumption Certificate Medico', 'Name Change Endorsement']",8/14/09
Ability Insurance Company,71471.0,ND Reinstatement Applications,H21.000 Health - Other,Form,Closed - Approved,MDTP-126341248,1,126341248,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126341248,True,https://filingaccess.serff.com/sfa/home/ND,"['Reinstatement Application for Long Term Care, Home Health Care, Nursing Home and Short Term Care Policies']",10/13/09
ACE American Insurance Company,22667.0,Blanket - Kidnap & Political Evac,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-125787958,1,125787958,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125787958,True,https://filingaccess.serff.com/sfa/home/ND,"['Kidnap and Extortion Expense Benefit Rider', 'Political Evacuation and Repatriation Benefit Amendment', 'Actuarial Memorandum']",9/8/08
ACE American Insurance Company,22667.0,Blanket Accident & Blanket GLM,H04.000 Health - Blanket Accident/Sickness,Form/Rate,Closed - Withdrawn,ACEH-130766974,1,130766974,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130766974,True,https://filingaccess.serff.com/sfa/home/ND,"['Security Evacuation Expense Benefit Rider', 'Security Evacuation Expense Benefit Extended Coverage Rider', 'Rate Manual']",12/8/16
ACE American Insurance Company,22667.0,Blanket Accident & Blanket GLM,H04.000 Health - Blanket Accident/Sickness,Form/Rate,Closed - Approved,ACEH-130916907,1,130916907,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130916907,True,https://filingaccess.serff.com/sfa/home/ND,"['Security Evacuation Expense Benefit Rider', 'Security Evacuation Expense Benefit Extended Coverage Rider', 'Rate Manual']",2/10/17
ACE American Insurance Company,22667.0,Blanket Accident and Sickness Policy,Blanket accident/sickness,Form,Closed - Approved,SERT-66KJH9912/00-00/00-00/00,1,66KJH9912/00,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=66KJH9912/00,True,https://filingaccess.serff.com/sfa/home/ND,"['Security Evacuation Expense Benefit Rider', 'Security Evacuation Expense Benefit Extended Coverage Rider', 'Rate Manual']",2/10/17
ACE American Insurance Company,22667.0,Blanket Accident Policy (BTA),H04.000 Health - Blanket Accident/Sickness,Form/Rate,Closed - Approved,ACEH-132211630,1,132211630,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132211630,True,https://filingaccess.serff.com/sfa/home/ND,"['Vacation Travel Amendment', 'Vacation Travel Rider', 'Vacation Travel Rider', 'Rate Manual']",1/7/20
ACE American Insurance Company,22667.0,Blanket Accident Policy (GLM),H04.000 Health - Blanket Accident/Sickness,Form/Rate,Closed - Approved,ACEH-132692638,1,132692638,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132692638,True,https://filingaccess.serff.com/sfa/home/ND,"['Vacation Travel Amendment', 'Vacation Travel Rider', 'Rate Manual']",1/26/21
ACE American Insurance Company,22667.0,Blanket Accident Policy - Critical Illness and Artificial Means Amendment,Blanket accident/sickness,Form,Closed - Approved,SERT-6K2L38938/00-00/00-00/00,1,6K2L38938/00,ND,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6K2L38938/00,True,https://filingaccess.serff.com/sfa/home/ND,"['Vacation Travel Amendment', 'Vacation Travel Rider', 'Rate Manual']",1/26/21
