Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002A Large Group Only - PPO,Form/Rate,Closed - Approved,BCSF-131703058,1,131703058,NH,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131703058,True,https://filingaccess.serff.com/sfa/home/NH,[],ui-button
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002C Large Group Only - Other,Form/Rate,Closed - Disapproved,BCSF-130948205,1,130948205,NH,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130948205,True,https://filingaccess.serff.com/sfa/home/NH,"['Group Certificate', 'Group Policy', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Group Application', 'Enrollment Form', 'Outline of Coverage', 'Termination Notice', 'Discretionary Amendment', 'Group Certificate', 'Group Policy', 'Dental Rider', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Outline of Coverage', 'Discretionary Amendment']",3/31/17
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002C Large Group Only - Other,Form/Rate,Closed - Disapproved,BCSF-131034913,1,131034913,NH,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131034913,True,https://filingaccess.serff.com/sfa/home/NH,"['Group Certificate', 'Group Policy', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Group Application', 'Enrollment Form', 'Outline of Coverage', 'Termination Notice', 'Discretionary Amendment', 'ID Card']",5/17/17
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002C Large Group Only - Other,Form/Rate,Closed - Disapproved - Resubmission Required,BCSF-131132074,1,131132074,NH,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131132074,True,https://filingaccess.serff.com/sfa/home/NH,"['Group Certificate', 'Group Policy', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Group Application', 'Enrollment Form', 'Outline of Coverage', 'Termination Notice', 'Discretionary Amendment', 'ID Card', 'Rate Manual']",7/26/17
5 Star Life Insurance Company,77879.0,Gap Rider 2024,H25G.001 Any Size Group,Form/Rate,Closed - Approved,FIVE-134331783,1,134331783,NH,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134331783,True,https://filingaccess.serff.com/sfa/home/NH,"['Supplemental Medical Expense Rider', 'Rate Manual']",1/8/25
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form/Rate,Closed - Approved,FIVE-132630110,1,132630110,NH,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132630110,True,https://filingaccess.serff.com/sfa/home/NH,"['Group Accident Policy', 'Group Accident Certificate', 'Outline of Coverage', 'Group Application', 'Enrollment Form']",2/2/21
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form/Rate,Closed - Approved,FIVE-132630141,1,132630141,NH,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132630141,True,https://filingaccess.serff.com/sfa/home/NH,"['Group Hospital Indemnity Policy', 'Group Hospital Indemnity Certificate', 'Group Hospital Indemnity Outline of Coverage']",3/8/21
AAA Life Insurance Company,71854.0,Accident Product,H02I.000 Health - Accident Only,Form/Rate,Closed - Approved,AAAL-131285169,1,131285169,NH,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131285169,True,https://filingaccess.serff.com/sfa/home/NH,"['Accidental Death Insurance Policy', 'Lifetime Membership Benefit Endorsement', 'Spouse Coverage Rider', 'Child Coverage Rider', 'Additional Airline & Common Carrier Accidental Death Rider', 'Additional Automobile & Pedestrian Accidental Death Rider', 'Acceptance Form', 'Outline of Coverage', 'Accidental Death Insurance Policy', 'Child Coverage Rider', 'Acceptance Form', 'Premiums']",1/10/18
AAA Life Insurance Company,71854.0,MLTA 24 NH,H02G.000 Health - Accident Only,Form/Rate,Closed - Approved,AAAL-134293461,1,134293461,NH,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134293461,True,https://filingaccess.serff.com/sfa/home/NH,[],11/4/24
ACE American Insurance,-99.0,policy,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,NHSR-5LHHNZ556/00-00/00-00/00,1,5LHHNZ556/00,NH,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=5LHHNZ556/00,True,https://filingaccess.serff.com/sfa/home/NH,[],11/4/24
ACE American Insurance Company,22667.0,Chubb Logo Change,H21.000 Health - Other,Form,Closed - Information Only - No Action Required,ACEH-130619437,1,130619437,NH,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130619437,True,https://filingaccess.serff.com/sfa/home/NH,[],10/3/16
ACE American Insurance Company,22667.0,Chubb Logo Change,H21.000 Health - Other,Form,Closed - Information Only - No Action Required,ACEH-130753359,1,130753359,NH,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130753359,True,https://filingaccess.serff.com/sfa/home/NH,[],10/3/16
