Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Security Mutual Life Insurance Company of New York,68772.0,2016 SML-Revised-MVM,H02G.000 Health - Accident Only,Form,Closed - Approved,CMPL-130411991,1,130411991,NJ,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130411991,True,https://filingaccess.serff.com/sfa/home/NJ,[],ui-button
21st Century Centennial Insurance Company,34789.0,Accident and Health,H14I.000 Health - Hospital Indemnity,Form,Closed - Approved,AGMK-126586942,1,126586942,NJ,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126586942,True,https://filingaccess.serff.com/sfa/home/NJ,['Amendatory Endorsement - Company Name Change'],4/20/10
21st Century Premier Insurance Company,20796.0,Accidental Death and Dismemberment,H03I.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AGMK-126658336,1,126658336,NJ,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126658336,True,https://filingaccess.serff.com/sfa/home/NJ,['Amendatory Endorsement—Company Name Change'],6/4/10
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - Approved,FIVE-132198470,1,132198470,NJ,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132198470,True,https://filingaccess.serff.com/sfa/home/NJ,"['Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Group Application', 'Enrollment Form']",1/27/20
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form,Closed - Approved,FIVE-132469417,1,132469417,NJ,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132469417,True,https://filingaccess.serff.com/sfa/home/NJ,"['Policy', 'Certificate', 'Schedule of Benefits']",7/23/20
AAA Life Insurance Company,71854.0,Accident Product,H02I.000 Health - Accident Only,Form/Rate,Closed - Deemed Withdrawn: no response received within 60-days,AAAL-131285171,1,131285171,NJ,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131285171,True,https://filingaccess.serff.com/sfa/home/NJ,"['Accidental Death Insurance Policy', 'Lifetime Membership Benefit Endorsement', 'Spouse Coverage Rider', 'Child Coverage Rider', 'Additional Airline & Common Carrier Accidental Death Rider', 'Additional Automobile & Pedestrian Accidental Death Rider']",1/2/18
AAA Life Insurance Company,71854.0,Accident Product,H02I.000 Health - Accident Only,Form/Rate,Closed - Approved,AAAL-131528694,1,131528694,NJ,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131528694,True,https://filingaccess.serff.com/sfa/home/NJ,"['Accidental Death Insurance Policy', 'Lifetime Membership Benefit Endorsement', 'Spouse Coverage Rider', 'Child Coverage Rider', 'Additional Airline & Common Carrier Accidental Death Rider', 'Additional Automobile & Pedestrian Accidental Death Rider', 'Acceptance Form']",6/5/18
AAA Life Insurance Company,71854.0,GA80081 et al,Accident Only(76),Form,Closed - Acknowledged,AAAL-125531835,1,125531835,NJ,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125531835,True,https://filingaccess.serff.com/sfa/home/NJ,"['Group Accident Insurance Certficiate', 'Common Carrier & Scheduled Airline Travel Accident Endorsement', 'Enrollment Form']",3/10/08
AAA Life Insurance Company,71854.0,MLTA Endorsement,Accident Only(76),File a Form,Closed - Approved,AAAL-125155259,1,125155259,NJ,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125155259,True,https://filingaccess.serff.com/sfa/home/NJ,['Amendatory Endorsement'],5/11/07
AAA Life Insurance Company,71854.0,MLTA-08,Accident Only(76),Form,Closed - Acknowledged,AAAL-125559055,1,125559055,NJ,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125559055,True,https://filingaccess.serff.com/sfa/home/NJ,['Member Loyalty Travel Accident Certificate of Insurance'],4/24/08
