Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Security Mutual Life Insurance Company of New York,68772.0,2016 SML-Revised-MVM,H02G.000 Health - Accident Only,Form,Closed - For Informational Purposes Only - Filed,CMPL-130411989,1,130411989,NV,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130411989,True,https://filingaccess.serff.com/sfa/home/NV,[],ui-button
"(NV) Rocky Mountain Hospital and Medical Services, Inc., D.B.A. Anthem Blue Cross and Blue Shield",1620.0,NV LG BlueSecure Part-Time Plan,H16G.002A Large Group Only - PPO,Form,Closed - Filed - Approved,ANTP-126422681,1,126422681,NV,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126422681,True,https://filingaccess.serff.com/sfa/home/NV,"['BlueSecure Large Group', 'Summary of Benefits', 'Disclosure Statement']",12/16/09
"(NV) Rocky Mountain Hospital and Medical Services, Inc., D.B.A. Anthem Blue Cross and Blue Shield",1620.0,PPO,H16G.001A Any Size Group - PPO,Form,Closed - Filed - Approved,ANTP-126507111,1,126507111,NV,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126507111,True,https://filingaccess.serff.com/sfa/home/NV,"['HSA Qualified Amendment', 'Lumenos Amendment']",2/19/10
"(NV) Rocky Mountain Hospital and Medical Services, Inc., D.B.A. Anthem Blue Cross and Blue Shield",1620.0,PPO,H16G.002A Large Group Only - PPO,Form,Closed - Filed - Approved,ANTP-126471683,1,126471683,NV,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126471683,True,https://filingaccess.serff.com/sfa/home/NV,"['Large Group Employer Master Contract', 'Large Group Employer Application/Change Form', 'Enrollment Application and Change Form: Medical-Dental-Vision-Life']",1/25/10
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002C Large Group Only - Other,Form,Closed - Approved,BCSF-130900954,1,130900954,NV,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130900954,True,https://filingaccess.serff.com/sfa/home/NV,"['Group Certificate', 'Group Policy', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Group Application']",2/1/17
4 Ever Life Insurance Company,80985.0,4EL 2024 ExPat,H16G.002C Large Group Only - Other,Form,Closed - Approved,BCSF-134471036,1,134471036,NV,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134471036,True,https://filingaccess.serff.com/sfa/home/NV,"['Group Policy', 'Group Certificate', 'Schedule of Benefits', 'Dental Services Rider', 'AD & D Rider', 'Vision Care Rider', 'Medical Assistance Rider', 'Emergency Services Care in the US Rider', 'Travel Benefit Rider', 'Group Application']",3/26/25
4 Ever Life Insurance Company,80985.0,Form 55.202 Business Traveler Blanket Insurance -,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Filed - Approved,MCHX-G128512174,1,G128512174,NV,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128512174,True,https://filingaccess.serff.com/sfa/home/NV,"['Group Policy', 'Group Certificate', 'Schedule of Benefits', 'Dental Services Rider', 'AD & D Rider', 'Vision Care Rider', 'Medical Assistance Rider', 'Emergency Services Care in the US Rider', 'Travel Benefit Rider', 'Group Application']",3/26/25
4 Ever Life Insurance Company,80985.0,Group Major Medical,H16G.002C Large Group Only - Other,Form,Closed - Filed - Approved,BCSF-127648730,1,127648730,NV,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127648730,True,https://filingaccess.serff.com/sfa/home/NV,"['group policy', 'group certificate', 'group application']",9/23/11
5 Star Life Insurance Company,77879.0,Gap Rider 2024,H25G.001 Any Size Group,Form/Rate,Closed - Approved,FIVE-134379853,1,134379853,NV,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134379853,True,https://filingaccess.serff.com/sfa/home/NV,"['Supplemental Medical Expense Rider', 'Certificate Amendment', '5Star.Gap Rate Manual.20250109']",1/15/25
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form/Rate,Closed - Approved,FIVE-132198468,1,132198468,NV,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132198468,True,https://filingaccess.serff.com/sfa/home/NV,"['Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form']",1/28/20
