Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Aetna Health Inc. (NY),95234.0,2025 - AHIC SG 2025 Rider,H16G.003H Small Group Only - EPO,2025 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134367188,1,134367188,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134367188,True,https://filingaccess.serff.com/sfa/home/NY,[],ui-button
Aetna Health Inc. (NY),95234.0,2025 - AHICNY SG Annual Filings,H15G.003 Small Group Only,2025 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134098210,1,134098210,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134098210,True,https://filingaccess.serff.com/sfa/home/NY,"['Schedule of Benefits', 'Schedule of Benefits', 'Policy', 'Rider', 'Certificate', 'Rider', 'Rider']",5/28/24
Aetna Health Inc. (NY),95234.0,2025 - AHICNY SG Annual Filings - Net Ad Rider,H15G.003 Small Group Only,2025 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134558323,1,134558323,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134558323,True,https://filingaccess.serff.com/sfa/home/NY,['Network Adequacy Rider'],6/17/25
Aetna Health Insurance Company of New York,84450.0,2021 SG AHIC of New York OFF,H16G.003H Small Group Only - EPO,2021 Off Exchange Medical Forms,Closed - APPR Approved,AETN-132384887,1,132384887,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132384887,True,https://filingaccess.serff.com/sfa/home/NY,"['Small Group EPO AHIC', 'NY Signature Silver OAEPO 5500 70%', 'NY Signature Gold OAEPO 2000 90% Dep 30', 'NY Signature Silver OAEPO 7200 70%']",5/19/20
Aetna Health Insurance Company of New York,84450.0,2022 SG AHIC of New York OFF,H16G.003H Small Group Only - EPO,2022 Off Exchange Medical Forms,Closed - APPR Approved,AETN-132807540,1,132807540,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132807540,True,https://filingaccess.serff.com/sfa/home/NY,"['Small Group EPO AHIC', 'NY Signature Silver OAEPO 5500 70%', 'NY Signature Gold OAEPO 2000 90% Dep 30', 'NY Signature Silver OAEPO 7200 70%', 'NY Discounts Rider']",5/11/21
Aetna Health Insurance Company of New York,84450.0,2023 SG AHIC off,H15G.003 Small Group Only,2023 Off Exchange Medical Forms,Closed - APPR Approved,AETN-133257251,1,133257251,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133257251,True,https://filingaccess.serff.com/sfa/home/NY,"['Certificate', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits']",5/23/22
Aetna Health Insurance Company of New York,84450.0,2024 - AHICNY SG Annual filing,H15G.003 Small Group Only,2024 Off Exchange Medical Forms,Closed - APPR Approved,AETN-133692410,1,133692410,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133692410,True,https://filingaccess.serff.com/sfa/home/NY,"['Rider', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Abortion Rider']",5/30/23
Aetna Health Insurance Company of New York,84450.0,2026 - AHICNY SG Annual Filing,H15G.003 Small Group Only,2026 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134503049,1,134503049,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134503049,True,https://filingaccess.serff.com/sfa/home/NY,"['Schedule of Benefits', 'Schedule of Benefits', 'Policy', 'Certificate', 'Application', 'Age 29 Rider']",5/21/25
Aetna Health Insurance Company of New York,84450.0,New York SG AHIC 2020 Rate & Form Filing,H16G.003H Small Group Only - EPO,Off Exchange NG Forms & Rates,Closed - APPR Approved,AETN-131925782,1,131925782,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131925782,True,https://filingaccess.serff.com/sfa/home/NY,"['Small Group EPO AHIC', 'NY Signature Silver OAEPO 5200 70%', 'NY Signature Gold OAEPO 1000 90% Dep 30', 'NY Signature Silver OAEPO 7100 70%', 'Family Planning Rider', 'Dependent Rider', 'Abortion Rider', 'Group Policy']",5/14/19
Aetna Life Insurance Company,60054.0,2019 IVL ALIC OFF,H16I.005C Individual - Other,2019 Off Exchange Medical Forms,Closed - APPR Approved,AETN-131476526,1,131476526,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131476526,True,https://filingaccess.serff.com/sfa/home/NY,"['Indivual Conversion Plan', 'Individual Conversion Child Only Plan', 'IVL Conversion Bronze Schedule', 'IVL Conversion Gold Schedule', 'IVL Conversion Platinum Schedule', 'IVL Conversion Silver Schedule']",5/11/18
Aetna Life Insurance Company,60054.0,2019 IVL ALIC OFF Application Forms,H16I.005C Individual - Other,2019 Off Exchange Medical Forms,Closed - APPR Approved,AETN-131501263,1,131501263,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131501263,True,https://filingaccess.serff.com/sfa/home/NY,['IVL Conversion Application'],5/15/18
Aetna Life Insurance Company,60054.0,2019 SG ALIC OFF,H15G.003 Small Group Only,2019 Off Exchange Medical Forms,Closed - APPR Approved,AETN-131476515,1,131476515,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131476515,True,https://filingaccess.serff.com/sfa/home/NY,"['Small Group EPO Non-Gated', 'Small Group EPO HSA Non-Gated', 'Small Group EPO Savings Plus HSA Non-Gated', 'Small Group EPO Savings Plus Non-Gated', 'NY Bronze OAEPO 3750 50%', 'NY Bronze Savings Plus OAEPO 4500 60%', 'NY Bronze OAEPO 5000 70%', 'NY Bronze OAEPO 5400 50% HSA', 'NY Bronze OAEPO 5400 50% HSA PY', 'NY Gold OAEPO 1000 90%', 'NY Gold Savings Plus OAEPO 1000 90%', 'NY Silver OAEPO 2550 70%', 'NY Silver Savings Plus OAEPO 3000 80%', 'NY Silver OAEPO 2800 90% HSA PY', 'NY Silver SP OAEPO 2800 90% HSA PY', 'NY Silver OAEPO 3000 70%']",5/11/18
Aetna Life Insurance Company,60054.0,2020 IVL ALIC OFF,H16I.005C Individual - Other,2020 Off Exchange Medical Forms,Closed - APPR Approved,AETN-131947139,1,131947139,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131947139,True,https://filingaccess.serff.com/sfa/home/NY,"['Indivual Conversion Plan', 'Individual Conversion Child Only Plan', 'IVL Conversion Bronze Schedule', 'IVL Conversion Gold Schedule', 'IVL Conversion Platinum Schedule', 'IVL Conversion Silver Schedule', 'Family Planning Rider']",5/20/19
Aetna Life Insurance Company,60054.0,2020 SG ALIC OFF,H15G.003 Small Group Only,2020 Off Exchange Medical Forms,Closed - APPR Approved,AETN-131947152,1,131947152,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131947152,True,https://filingaccess.serff.com/sfa/home/NY,"['Small Group EPO Non-Gated', 'Small Group EPO HSA Non-Gated', 'Small Group EPO Savings Plus HSA Non-Gated', 'Small Group EPO Savings Plus Non-Gated', 'NY Bronze OAEPO 3750 50%', 'NY Bronze Savings Plus OAEPO 4700 60%', 'NY Bronze OAEPO 5250 70%', 'NY Bronze OAEPO 5400 50% HSA', 'NY Bronze OAEPO 5400 50% HSA PY', 'NY Gold OAEPO 1000 90%', 'NY Gold Savings Plus OAEPO 1000 90%', 'NY Silver OAEPO 2800 65%', 'NY Silver Savings Plus OAEPO 3400 80%', 'NY Silver OAEPO 2800 90% HSA PY', 'NY Silver SP OAEPO 2800 90% HSA PY', 'NY Silver OAEPO 3100 65%', 'Family Planning Rider']",5/20/19
Aetna Life Insurance Company,60054.0,2021 IVL ALIC OFF,H16I.005C Individual - Other,2021 Off Exchange Medical Forms,Closed - APPR Approved,AETN-132384779,1,132384779,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132384779,True,https://filingaccess.serff.com/sfa/home/NY,"['Indivual Conversion Plan', 'Individual Conversion Child Only Plan', 'IVL Conversion Bronze Schedule', 'IVL Conversion Gold Schedule', 'IVL Conversion Platinum Schedule', 'IVL Conversion Silver Schedule', 'Age 29 Rider']",5/19/20
Aetna Life Insurance Company,60054.0,2021 SG ALIC OFF,H15G.003 Small Group Only,2021 Off Exchange Medical Forms,Closed - APPR Approved,AETN-132384836,1,132384836,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132384836,True,https://filingaccess.serff.com/sfa/home/NY,"['Small Group EPO Non-Gated', 'Small Group EPO HSA Non-Gated', 'Small Group EPO Savings Plus HSA Non-Gated', 'Small Group EPO Savings Plus Non-Gated', 'NY Bronze OAEPO 4800 50%', 'NY Bronze Savings Plus OAEPO 5400 60%', 'NY Bronze OAEPO 6000 60%', 'NY Silver OAEPO 5000 50% HSA', 'NY Silver OAEPO 5000 50% HSA PY', 'NY Gold OAEPO 1200 90%', 'NY Gold Savings Plus OAEPO 1000 90%', 'NY Silver OAEPO 3200 65%', 'NY Silver Savings Plus OAEPO 3500 80%', 'NY Silver OAEPO 3000 90% HSA PY', 'NY Silver SP OAEPO 2800 90% HSA PY', 'NY Silver OAEPO 3600 65%']",5/19/20
Aetna Life Insurance Company,60054.0,2022 - LG - Corrections to Approval,H16G.002C Large Group Only - Other,Certification by Previously Approved Form,Closed - APPR Approved,AETN-133177710,2,133177710,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133177710,True,https://filingaccess.serff.com/sfa/home/NY,"['Certificate', 'Rider']",3/4/22
Aetna Life Insurance Company,60054.0,2022 IVL ALIC OFF,H16I.005C Individual - Other,2022 Off Exchange Medical Forms,Closed - APPR Approved,AETN-132827627,2,132827627,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132827627,True,https://filingaccess.serff.com/sfa/home/NY,"['Individual Conversion Plan', 'Individual Conversion Child Only Plan', 'IVL Conversion Bronze Schedule', 'IVL Conversion Gold Schedule', 'IVL Conversion Platinum Schedule', 'IVL Conversion Silver Schedule']",5/11/21
Aetna Life Insurance Company,60054.0,2022 SG ALIC OFF,H15G.003 Small Group Only,2022 Off Exchange Medical Forms,Closed - APPR Approved,AETN-132807573,2,132807573,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132807573,True,https://filingaccess.serff.com/sfa/home/NY,"['Small Group EPO Non-Gated', 'Small Group EPO HSA Non-Gated', 'Small Group EPO Savings Plus HSA Non-Gated', 'Small Group EPO Savings Plus Non-Gated', 'NY Bronze OAEPO 4800 50%', 'NY Bronze Savings Plus OAEPO 5400 60%', 'NY Bronze OAEPO 6000 60%', 'NY Silver OAEPO 5000 50% HSA', 'NY Silver OAEPO 5000 50% HSA PY', 'NY Gold OAEPO 1400 80%', 'NY Gold Savings Plus OAEPO 1200 80%', 'NY Silver OAEPO 2800 60%', 'NY Silver Savings Plus OAEPO 3500 80%', 'NY Silver OAEPO 3000 90% HSA PY', 'NY Silver SP OAEPO 2500 80% HSA PY', 'NY Silver OAEPO 3600 65%', 'NY Discounts Rider']",5/11/21
Aetna Life Insurance Company,60054.0,2023 IVL ALIC OFF,H16I.005D Individual - EPO,2023 Off Exchange Medical Forms,Closed - APPR Approved,AETN-133257269,2,133257269,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133257269,True,https://filingaccess.serff.com/sfa/home/NY,"['Policy', 'Policy', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits']",5/23/22
Aetna Life Insurance Company,60054.0,2023 SG ALIC off,H15G.003 Small Group Only,2023 Off Exchange Medical Forms,Closed - APPR Approved,AETN-133238345,2,133238345,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133238345,True,https://filingaccess.serff.com/sfa/home/NY,"['Certificate', 'Certificate', 'Certificate', 'Certificate', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Beneifts', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits']",5/23/22
Aetna Life Insurance Company,60054.0,2024 - ALIC SG Annual Filing,H15G.003 Small Group Only,2024 Off Exchange Medical Forms,Closed - APPR Approved,AETN-133688425,2,133688425,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133688425,True,https://filingaccess.serff.com/sfa/home/NY,"['Rider', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Beneifts', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Abortion Rider']",5/25/23
Aetna Life Insurance Company,60054.0,2024 - Individual Annual Filing,H16I.005D Individual - EPO,2024 Off Exchange Medical Forms,Closed - APPR Approved,AETN-133694137,2,133694137,NY,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133694137,True,https://filingaccess.serff.com/sfa/home/NY,"['Rider', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Abortion Rider']",5/31/23
