Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Security Mutual Life Insurance Company of New York,68772.0,2016 SML-Revised-MVM,H02G.000 Health - Accident Only,Form,Closed - Approved,CMPL-130411994,1,130411994,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130411994,True,https://filingaccess.serff.com/sfa/home/RI,[],ui-button
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002C Large Group Only - Other,Form/Rate,Closed - Approved,BCSF-130901057,1,130901057,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130901057,True,https://filingaccess.serff.com/sfa/home/RI,"['Group Certificate', 'Group Certificate', 'Group Certificate', 'Group Certificate', 'Group Certificate', 'Group Application', 'Group Certificate', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Group Certificate REDLINE', 'Rate Manual', 'Rate Manual']",1/31/17
4 Ever Life Insurance Company,80985.0,4EL Corporate ExPat,H16G.002C Large Group Only - Other,Form,Closed - Approved,BCSF-133526261,1,133526261,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133526261,True,https://filingaccess.serff.com/sfa/home/RI,"['Group Certificate', 'Group Certificate', 'Group Certificate', 'Redline Group Certificate']",1/26/23
4 Ever Life Insurance Company,80985.0,Company Name Change,H15G.002 Large Group Only,Form,Closed - File for Informational Purposes,BCSF-127174422,1,127174422,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127174422,True,https://filingaccess.serff.com/sfa/home/RI,['Company Name Change Endorsement'],5/18/11
4 Ever Life Insurance Company,80985.0,ExPat (Small Group),H16G.003A Small Group Only - PPO,Form/Rate,Closed - Withdrawn by Company,BCSF-130504506,1,130504506,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130504506,True,https://filingaccess.serff.com/sfa/home/RI,"['Small Employer Policy', 'Small Employer Certificate', 'Small Employer Certificate', 'Small Employer Application']",4/1/16
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form/Rate,Closed - Disapproved,FIVE-132198481,1,132198481,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132198481,True,https://filingaccess.serff.com/sfa/home/RI,"['Accident Certificate', 'Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Accident Policy', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form', 'Base Accident Rating Manual', 'Sickness Rider Rating Manual', 'Base Accident Rating Manual', 'Sickness Rider Rating Manual']",1/24/20
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form/Rate,Closed - Disapproved,FIVE-132335928,1,132335928,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132335928,True,https://filingaccess.serff.com/sfa/home/RI,"['Policy', 'Certificate', 'Certificate', 'Schedule of Benefits', 'Rating Manual']",4/14/20
AAA Life Insurance Company,71854.0,Accident Product,H02I.000 Health - Accident Only,Form/Rate,Closed - Approved,AAAL-131290454,1,131290454,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131290454,True,https://filingaccess.serff.com/sfa/home/RI,"['Accidental Death Insurance Policy', 'Lifetime Membership Benefit Endorsement', 'Spouse Coverage Rider', 'Child Coverage Rider', 'Additional Airline & Common Carrier Accidental Death Rider', 'Additional Automobile & Pedestrian Accidental Death Rider', 'Premiums']",1/10/18
AAA Life Insurance Company,71854.0,GA80081 et al,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-125531757,1,125531757,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125531757,True,https://filingaccess.serff.com/sfa/home/RI,"['Group Accident Insurance Certficiate', 'Group Accident Insurance Certficiate', 'Common Carrier & Scheduled Airline Travel Accident Endorsement', 'Enrollment Form']",3/25/08
AAA Life Insurance Company,71854.0,Member Loyalty Travel Accident,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-125124181,1,125124181,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125124181,True,https://filingaccess.serff.com/sfa/home/RI,[],3/8/07
AAA Life Insurance Company,71854.0,MLTA 2010 Act Memo Revision,H02G.000 Health - Accident Only,Form,Closed - Approved,AAAL-126767555,1,126767555,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126767555,True,https://filingaccess.serff.com/sfa/home/RI,[],8/13/10
AAA Life Insurance Company,71854.0,MLTA Endorsements 2013,H02G.000 Health - Accident Only,Form,Closed - Approved,AAAL-128860227,1,128860227,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128860227,True,https://filingaccess.serff.com/sfa/home/RI,"['Member Loyalty Travel Accident Endorsement', 'Member Loyalty Travel Accident CErtificate Endorsement', 'Member Loyalty Master Policy Endorsement']",2/1/13
AAA Life Insurance Company,71854.0,MLTA Endorsements 2016,H02G.000 Health - Accident Only,Form,Closed - Approved,AAAL-130248015,1,130248015,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130248015,True,https://filingaccess.serff.com/sfa/home/RI,"['Member Loyalty Travel Accident Master Policy Endorsement', 'Member Loyalty Travel Accident Endorsement', 'Member Loyalty Travel Accident Certificate Endorsement']",9/17/15
AAA Life Insurance Company,71854.0,MLTA-08,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-125559062,1,125559062,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125559062,True,https://filingaccess.serff.com/sfa/home/RI,"['Member Loyalty Travel Accident', 'Member Loyalty Travel Accident']",4/30/08
AAA Life Insurance Company,71854.0,MLTA-08 2010 Riders/Ultra,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-126597870,1,126597870,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126597870,True,https://filingaccess.serff.com/sfa/home/RI,"['Additional Accidental Death Benefit Rider', 'Additional Accidental Death Benefit Rider', 'Additional Accidental Hospital Benefit Rider', 'Additional Accidental Hospital Benefit Rider', 'Airline Benefit Increase Rider', 'Recuperation Extension Benefit Rider', 'Spouse Benefit Increase Rider']",4/28/10
AAA Life Insurance Company,71854.0,PAI,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-125053950,1,125053950,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125053950,True,https://filingaccess.serff.com/sfa/home/RI,[],12/5/06
AAA Life Insurance Company,71854.0,PAI Amendatory Endorsement,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-125057498,1,125057498,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125057498,True,https://filingaccess.serff.com/sfa/home/RI,[],12/8/06
Accendo Insurance Company,63444.0,Rhode Island Advertising Certification,H21.000 Health - Other,Form,Closed - File for Informational Purposes,AETN-133175614,1,133175614,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133175614,True,https://filingaccess.serff.com/sfa/home/RI,[],3/2/22
ACE American Insurance Company,22667.0,2024 Annual Supplemental Health Certification,H21.000 Health - Other,Form,Closed - File for Informational Purposes,ACEH-134412771,1,134412771,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134412771,True,https://filingaccess.serff.com/sfa/home/RI,[],2/27/25
ACE American Insurance Company,22667.0,Annual Supplemental Health Certification,H21.000 Health - Other,Form,Closed - File for Informational Purposes,ACEH-134006733,1,134006733,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134006733,True,https://filingaccess.serff.com/sfa/home/RI,[],2/27/24
ACE American Insurance Company,22667.0,Annual Supplemental Health Certification,H21.000 Health - Other,Form,Closed - File for Informational Purposes,ACEH-132269025,1,132269025,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132269025,True,https://filingaccess.serff.com/sfa/home/RI,[],2/27/20
ACE American Insurance Company,22667.0,Annual Supplemental Health Certification,H21.000 Health - Other,Form,Closed - File for Informational Purposes,ACEH-133152980,1,133152980,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133152980,True,https://filingaccess.serff.com/sfa/home/RI,[],2/16/22
ACE American Insurance Company,22667.0,Annual Supplemental Health Certification,H21.000 Health - Other,Form,Closed - File for Informational Purposes,ACEH-133581217,1,133581217,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133581217,True,https://filingaccess.serff.com/sfa/home/RI,[],2/28/23
ACE American Insurance Company,22667.0,Annual Supplemental Health Certification,H21.000 Health - Other,Form,Closed - File for Informational Purposes,ACEH-132742608,1,132742608,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132742608,True,https://filingaccess.serff.com/sfa/home/RI,[],2/26/21
ACE American Insurance Company,22667.0,Annual Supplemental Health Certification,H21.000 Health - Other,Form,Closed - File for Informational Purposes,ACEH-131840653,1,131840653,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131840653,True,https://filingaccess.serff.com/sfa/home/RI,[],2/28/19
ACE American Insurance Company,22667.0,BA- Overuse Exclusion Amendment,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-126394445,1,126394445,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126394445,True,https://filingaccess.serff.com/sfa/home/RI,['AH-10059a-OE-RI'],12/7/09
ACE American Insurance Company,22667.0,Blanket - Kidnap & Political Evac,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-125787962,1,125787962,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125787962,True,https://filingaccess.serff.com/sfa/home/RI,"['Kidnap and Extortion Expense Benefit Rider', 'Political Evacuation and Repatriation Benefit Amendment']",9/8/08
ACE American Insurance Company,22667.0,Blanket Accident,H04.000 Health - Blanket Accident/Sickness,Form/Rate,Closed - Approved,ACEH-130766980,1,130766980,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130766980,True,https://filingaccess.serff.com/sfa/home/RI,"['Security Evacuation Expense Benefit Rider', 'Security Evacuation Expense Benefit Extended Coverage Rider', 'Rate Manual', 'Rate Manual']",12/14/16
ACE American Insurance Company,22667.0,Blanket Accident Policy (BTA),H04.000 Health - Blanket Accident/Sickness,Form/Rate,Closed - Approved,ACEH-132217148,1,132217148,RI,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132217148,True,https://filingaccess.serff.com/sfa/home/RI,"['Vacation Travel Amendment', 'Vacation Travel Rider', 'Rate Manual', 'Rate Manual']",1/13/20
