Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Securian Life Insurance Company,93742.0,Critical Illness Insurance 3.0,H07G.002 Dread Disease,Form,Closed - Closed Exempt,MNNL-133704557,97,133704557,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133704557,True,https://filingaccess.serff.com/sfa/home/SC,[],ui-button
Securian Life Insurance Company,93742.0,Critical Illness Insurance 3.0,H07G.002 Dread Disease,Form,Closed - Closed Exempt,MNNL-134232896,97,134232896,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134232896,True,https://filingaccess.serff.com/sfa/home/SC,['Group Critical Illness Application'],8/30/24
Securian Life Insurance Company,93742.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - Closed Exempt,MNNL-129977460,97,129977460,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129977460,True,https://filingaccess.serff.com/sfa/home/SC,"['Group Accident Insurance Policy', 'Group Accident Certificate of Insurance', 'Accidental Death and Dismemberment Certificate Supplement', 'Group Accident Continuation of Insurance Certificate Supplement', 'Group Accident COBRA Continuation of Insurance Certificate Supplement', 'Group Accident Insurance Portability Certificate Supplement', 'Waiver of Premium Certificate Supplement', 'Waiver of Premium Certificate Supplement', 'Health and Wellness Benefit Certificate Supplement', 'Certificate Specifications Page', 'Certificate Profile Page', 'Group Accident Insurance Policyholder Application', 'Group Accident Insurance Policyholder Application', 'Group Accident Insurance Enrollment', 'Group Accident Insurance Certificate Endorsement']",3/30/15
Securian Life Insurance Company,93742.0,Group Accident 2.0,H02G.000 Health - Accident Only,Form,Closed - Closed Exempt,MNNL-131265063,97,131265063,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131265063,True,https://filingaccess.serff.com/sfa/home/SC,"['Group Accident Insurance Policyholder Application', 'Group Accident Insurance Policy', 'Group Accident Certificate of Insurance', 'Accidental Death Certificate Supplement', 'Accidental Death and Dismemberment Certificate Supplement', 'Catastrophic Loss Certificate Supplement', 'Dependent Parent Certificate Supplement', 'Waiver of Premium Certificate Supplement', 'Group Accident Insurance Portability Certificate Supplement', 'Group Accident Continuation of Insurance Certificate Supplement', 'Group Accident COBRA Continuation of Insurance Certificate Supplement', 'Health and Wellness Certificate Supplement', 'Certificate Specification Page', 'Certificate Specification Page', 'Group Accident Certificate Profile', 'Implementation Credit Policy Rider', 'Group Accident Certificate Endorsement']",11/13/17
Securian Life Insurance Company,93742.0,Group Accident Insurance,H02G.000 Health - Accident Only,Form,Closed - Closed For Informational Purposes Only,MNNL-133840024,97,133840024,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133840024,True,https://filingaccess.serff.com/sfa/home/SC,[],10/3/23
Securian Life Insurance Company,93742.0,Group Accident Insurance,H02G.000 Health - Accident Only,Form,Closed - Closed Exempt,MNNL-133618718,97,133618718,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133618718,True,https://filingaccess.serff.com/sfa/home/SC,"['Group Accident Insurance Policy', 'Group Accident Certificate of Insurance', 'Group Accident Insurance Certificate Profile Page', 'Group Accident Insurance Policyholder Application', 'Group Accident Insurance Enrollment', 'Group Accident Insurance Certificate Endorsement', 'Implementation Credit Policy Rider']",3/30/23
Securian Life Insurance Company,93742.0,Group Critical Illness Insurance,H07G.002 Dread Disease,Form,Closed - Closed Exempt,MNNL-129754049,97,129754049,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129754049,True,https://filingaccess.serff.com/sfa/home/SC,"['Group Critical Illness Insurance Policy', 'Group Critical Illness Certificate of Insurance', 'Group Critical Illness Certificate Specifications Page', 'Group Critical Illness Profile Page', 'Group Critical Illness Continuation of Insurance Certificate Supplement', 'Group Critical Illness Trauma Benefit Certificate Supplement', 'Group Critical Illness Insurance Portability Certificate Supplement', 'Group Critical Illness Waiver of Premium Certificate Supplement', 'Group Critical Illness Health and Wellness Benefit Certificate Supplement', 'Group Critical Illness COBRA Continuation of Insurance Certificate Supplement', 'Group Critical Illness Group Policy Amendment', 'Group Critical Illness Certificate Endorsement', 'Group Critical Illness Policyholder Application', 'Group Critical Illness Enrollment', 'Group Critical Illness Evidence of Insurability', 'Group Critical Illness Application', 'Group Critical Illness Insurance Policy', 'Group Critical Illness Certificate of Insurance', 'Group Critical Illness Certificate Specifications Page', 'Group Critical Illness Profile Page', 'Group Critical Illness Continuation of Insurance Certificate Supplement', 'Group Critical Illness Trauma Benefit Certificate Supplement', 'Group Critical Illness Insurance Portability Certificate Supplement', 'Group Critical Illness Waiver of Premium Certificate Supplement']",10/7/14
Securian Life Insurance Company,93742.0,Group Dental Plan,H21.000 Health - Other,Form,Closed - Closed For Informational Purposes Only,CLTR-131415637,97,131415637,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131415637,True,https://filingaccess.serff.com/sfa/home/SC,[],3/29/18
Securian Life Insurance Company,93742.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form,Closed - Closed Exempt,MNNL-130426035,97,130426035,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130426035,True,https://filingaccess.serff.com/sfa/home/SC,"['Group Hospital Indemnity Insurance Policy', 'Group Hospital Indemnity Certificate of Insurance', 'Group Hospital Indemnity Continuation of Insurance Certificate Supplement', 'Group Hospital Indemnity COBRA Continuation of Insurance Certificate Supplement', 'Group Hospital Indemnity Insurance Portability Certificate Supplement', 'Waiver of Premium Certificate Supplement', 'Health and Wellness Benefit Certificate Supplement', 'Certificate Specifications Page', 'Certificate Profile Page', 'Group Hospital Indemnity Insurance Certificate Endorsement', 'Group Hospital Indemnity Policyholder Application', 'Group Hospital Indemnity Enrollment', 'Group Hospital Indemnity Application']",2/1/16
Securian Life Insurance Company,93742.0,Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form,Closed - Closed Exempt,MNNL-133708154,97,133708154,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133708154,True,https://filingaccess.serff.com/sfa/home/SC,"['Group Hospital Indemnity Insurance Policy', 'Group Hospital Indemnity Certificate of Insurance', 'Group Hospital Indemnity Insurance Certificate Profile Page', 'Group Hospital Indemnity Policyholder Application', 'Group Hospital Indemnity Application', 'Group Hospital Indemnity Insurance Certificate Endorsement']",6/14/23
