Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
United of Omaha Life Insurance Company,69868.0,America's Finest Woodworking Team - GLTD-825G,H11G.003 Long Term,Form,Closed - Filed,MUTM-125062548,93,125062548,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125062548,True,https://filingaccess.serff.com/sfa/home/SD,[],ui-button
United of Omaha Life Insurance Company,69868.0,American Association of Blood Blanks Inc 2013 GLUG-AQVW,H11G.003 Long Term,Form,Closed - Filed,MUTM-129271447,93,129271447,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129271447,True,https://filingaccess.serff.com/sfa/home/SD,"['Group term life certificate booklet', 'Group long-term disability certificate booklet', 'Group short-term disability certificate booklet']",10/29/13
United of Omaha Life Insurance Company,69868.0,Ariat International Inc 2015,H11G.002 Short Term,Form,Closed - Filed,MUTM-130387139,93,130387139,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130387139,True,https://filingaccess.serff.com/sfa/home/SD,['Group Voluntary Term Life Benefits Certificate Booklet'],1/4/16
United of Omaha Life Insurance Company,69868.0,Battery Systems Inc - 7000CI-U-EZ,H11G.003 Long Term,Form,Closed - Filed,MUTM-131324303,93,131324303,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131324303,True,https://filingaccess.serff.com/sfa/home/SD,['Group Short Term Disability Certificate'],1/3/18
United of Omaha Life Insurance Company,69868.0,Battery Systems Inc 2017,H11G.003 Long Term,Form,Closed - Approved,MUTM-130918365,93,130918365,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130918365,True,https://filingaccess.serff.com/sfa/home/SD,"['Group Voluntary Accident Benefits', 'Group Voluntary Long-Term Disability Benefits']",2/13/17
United of Omaha Life Insurance Company,69868.0,Boys and Girls Home and Family Services - GLUG-600I,H16G.002A Large Group Only - PPO,Form,Closed - Filed,MUTM-125267015,93,125267015,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125267015,True,https://filingaccess.serff.com/sfa/home/SD,"['Boys and Girls Home and Family Services, Inc, Certificate']",8/20/07
United of Omaha Life Insurance Company,69868.0,Central Purchasing LLC - GUC-AF4L,H11G.002 Short Term,Form,Closed - Filed,MUTM-126543558,93,126543558,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126543558,True,https://filingaccess.serff.com/sfa/home/SD,"['Cert Booklet', 'Cert Booklet']",3/16/10
United of Omaha Life Insurance Company,69868.0,Cert Book & Form 306GI-EZ 04,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Filed,USPH-6J7Q85222/00-00/00-00/00,93,6J7Q85222/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6J7Q85222/00,True,https://filingaccess.serff.com/sfa/home/SD,"['Cert Booklet', 'Cert Booklet']",3/16/10
United of Omaha Life Insurance Company,69868.0,Certificate Booklet for Policy GLTD-629G,H11G.003 Long Term,Form,Closed - Filed,MUTM-125061871,93,125061871,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125061871,True,https://filingaccess.serff.com/sfa/home/SD,['Certificate Booklet for Policy GLTD-629G'],12/14/06
United of Omaha Life Insurance Company,69868.0,Certificate Booklet for Policy GLTD-728I,H11G.003 Long Term,Form,Closed - Filed,MUTM-125300219,93,125300219,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125300219,True,https://filingaccess.serff.com/sfa/home/SD,['Group Long Term Disability Certificate'],9/21/07
