Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002A Large Group Only - PPO,Form,Closed - Approved,BCSF-131178714,1,131178714,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131178714,True,https://filingaccess.serff.com/sfa/home/TX,[],ui-button
4 Ever Life Insurance Company,80985.0,4EL 2024 ExPat,H16G.002A Large Group Only - PPO,Form,Closed - Approved,BCSF-134023888,1,134023888,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134023888,True,https://filingaccess.serff.com/sfa/home/TX,"['Blue Cross Blue Shield Global Expat', 'Certificate', 'Schedule of Benefits', 'Group Application', 'Accidental Death & Dismemberment Rider', 'Dental Services Rider', 'Medical Assistance Rider', 'Emergency Services Care inside the United States', 'Vision Care Rider', 'Notice of Appeal Rights']",3/11/24
4 Ever Life Insurance Company,80985.0,4EL 2024 ExPat,H16G.002A Large Group Only - PPO,Form,Closed - Withdrawn,BCSF-133885401,1,133885401,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133885401,True,https://filingaccess.serff.com/sfa/home/TX,"['Blue Cross Blue Shield Global Expat', 'Certificate', 'Schedule of Benefits', 'Group Application', 'Accidental Death & Dismemberment Rider', 'Dental Services Rider', 'Medical Assistance Rider', 'Travel Benefit Reimbursement Rider', 'Emergency Services Care inside the United States', 'Vision Care Rider', 'Notice of Appeal Rights']",11/17/23
4 Ever Life Insurance Company,80985.0,4EL ExPat,H16G.002C Large Group Only - Other,Form,Closed - Withdrawn,BCSF-132391950,1,132391950,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132391950,True,https://filingaccess.serff.com/sfa/home/TX,['Emergency Services rider'],5/25/20
4 Ever Life Insurance Company,80985.0,4EL ExPat,H16G.002C Large Group Only - Other,Form,Closed - Withdrawn,BCSF-132401516,1,132401516,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132401516,True,https://filingaccess.serff.com/sfa/home/TX,['Schedule of Benefits'],5/30/20
4 Ever Life Insurance Company,80985.0,Figure 50,H21.000 Health - Other,Form,Closed - Rejected,BCSF-130460938,1,130460938,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130460938,True,https://filingaccess.serff.com/sfa/home/TX,[],2/24/16
5 Star Life Insurance Company,77879.0,Redomestication 2018,H21.000 Health - Other,Form,Closed - Approved,FIVE-131466654,1,131466654,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131466654,True,https://filingaccess.serff.com/sfa/home/TX,['Redomestication Endorsement'],4/18/18
5 Star Life Insurance Company,77879.0,Redomestication 2018,H21.000 Health - Other,Form,Closed - Withdrawn,FIVE-131364961,1,131364961,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131364961,True,https://filingaccess.serff.com/sfa/home/TX,['Redomestication Endorsement'],2/5/18
Access to Care Health Plan,17778.0,2026 Access to Care Health Plan Central Platinum Plan Handbook,HOrg02I.005D Individual - HMO,Information to Prospective and Current Contract Holders and Enrollees,Closed - Approved,ACHP-134579042,1,134579042,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134579042,True,https://filingaccess.serff.com/sfa/home/TX,['ACHP_State Mandated_2026'],6/22/25
Access to Care Health Plan,17778.0,2026 Access to Care Health Plan Central Platinum Plan Quick Reference Guide,HOrg02I.005D Individual - HMO,Information to Prospective and Current Contract Holders and Enrollees,Closed - Reviewed,ACHP-134579055,1,134579055,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134579055,True,https://filingaccess.serff.com/sfa/home/TX,['ACHPQRG2026'],6/22/25
"Access to Care Health Plan, LLC",0.0,ACHP_Member Handbook,HOrg02I.005D Individual - HMO,Miscellaneous Filing for Information,Closed - Rejected,SEND-132949770,2,132949770,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132949770,True,https://filingaccess.serff.com/sfa/home/TX,['ACHP Member Handbook'],8/18/21
"Access to Care Health Plan, LLC",0.0,ACHP_Quick Reference Guide,HOrg02I.005D Individual - HMO,Miscellaneous Filing for Information,Closed - Rejected,SEND-132950887,2,132950887,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132950887,True,https://filingaccess.serff.com/sfa/home/TX,['ACHP_QRG2022'],8/18/21
"Access to Care Health Plan, LLC",0.0,Certificate of Assumption ACHP,HOrg02I.005D Individual - HMO,Information to Prospective and Current Contract Holders and Enrollees,Closed - Rejected,SEND-134490858,2,134490858,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134490858,True,https://filingaccess.serff.com/sfa/home/TX,['Certificate of Assumption'],4/9/25
ACE American Insurance Company,22667.0,Group Supplemental Medical Expense Insurance,H21.000 Health - Other,Form,Closed - Approved,ACEH-131450844,2,131450844,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131450844,True,https://filingaccess.serff.com/sfa/home/TX,"['Application', 'Amendment', 'Schedule of Benefits']",4/5/18
ACE American Insurance Company,22667.0,Group Supplemental Medical Expense Insurance,H21.000 Health - Other,Form,Closed - Disapproved,ACEH-131333706,2,131333706,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131333706,True,https://filingaccess.serff.com/sfa/home/TX,"['Application', 'Amendment', 'Schedule of Benefits']",1/10/18
ACE American Insurance Company,22667.0,Group Supplemental Medical Expense Product,H21.000 Health - Other,Form,Closed - Rejected,ACEH-129651462,2,129651462,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129651462,True,https://filingaccess.serff.com/sfa/home/TX,"['Group Supplemental Medical Expense Policy', 'Group Supplemental Medical Expense Certificate', 'Group Supplemental Medical Expense Application', 'Group Supplemental Medical Expense Enrollment Form', 'Group Supplemental Medical Expense Administrative']",9/10/14
ACE American Insurance Company,22667.0,Group Supplemental Medical Expense Product,H21.000 Health - Other,Form,Closed - Rejected,ACEH-129716330,2,129716330,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129716330,True,https://filingaccess.serff.com/sfa/home/TX,"['Group Supplemental Medical Expense Policy', 'Group Supplemental Medical Expense Certificate', 'Group Supplemental Medical Expense Application', 'Group Supplemental Medical Expense Enrollment Form', 'Group Supplemental Medical Expense Administrative']",9/10/14
ACE American Insurance Company,22667.0,Group Supplemental Medical Expense Product,H21.000 Health - Other,Form,Closed - Disapproved,ACEH-129718456,2,129718456,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129718456,True,https://filingaccess.serff.com/sfa/home/TX,"['Group Supplemental Medical Expense Policy', 'Group Supplemental Medical Expense Certificate', 'Group Supplemental Medical Expense Application', 'Group Supplemental Medical Expense Enrollment Form', 'Group Supplemental Medical Expense Administrative']",9/11/14
ACE American Insurance Company,22667.0,Group Supplemental Medical Expense Product,H21.000 Health - Other,Form,Closed - Disapproved,ACEH-129718382,2,129718382,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129718382,True,https://filingaccess.serff.com/sfa/home/TX,"['Group Supplemental Medical Expense Policy', 'Group Supplemental Medical Expense Certificate', 'Group Supplemental Medical Expense Application', 'Group Supplemental Medical Expense Enrollment Form', 'Group Supplemental Medical Expense Administrative']",9/11/14
ACE American Insurance Company,22667.0,Group Supplemental Medical Expense Product,H21.000 Health - Other,Form,Closed - Approved,ACEH-129797582,2,129797582,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129797582,True,https://filingaccess.serff.com/sfa/home/TX,"['Group Supplemental Medical Expense Policy', 'Group Supplemental Medical Expense Certificate', 'Group Supplemental Medical Expense Application', 'Group Supplemental Medical Expense Enrollment Form', 'Group Supplemental Medical Expense Administrative']",11/6/14
ACE Property and Casualty Insurance Company,20699.0,Group Disability Income,H11G.005 Combined Short Term and Long-Term,"Policy Forms, Application, Riders and Endorsements, Rates",Closed - Approved,ACEH-133392071,3,133392071,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133392071,True,https://filingaccess.serff.com/sfa/home/TX,[],9/28/22
ACE Property and Casualty Insurance Company,20699.0,Group Disability Income 2.0,H11G.005 Combined Short Term and Long-Term,"Policy Forms, Application, Riders and Endorsements, Rates",Closed - Approved,ACEH-134047731,3,134047731,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134047731,True,https://filingaccess.serff.com/sfa/home/TX,[],4/1/24
ACE Property and Casualty Insurance Company,20699.0,Group Disability Income ICC19-C60580,H11G.002 Short Term,"Policy Forms, Application, Riders and Endorsements, Rates",Closed - Approved,ACEH-131906956,3,131906956,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131906956,True,https://filingaccess.serff.com/sfa/home/TX,[],5/1/19
"AECC TOTAL VISION HEALTH PLAN OF TEXAS, INC",95302.0,Notice of Physicians Providers,HOrg02G.002C Any Size Group - HMO,Miscellaneous Filing for Information,Closed - Reviewed,TXLF-130444340,3,130444340,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130444340,True,https://filingaccess.serff.com/sfa/home/TX,[],2/11/16
"AECC TOTAL VISION HEALTH PLAN OF TEXAS, INC",95302.0,Provider Notification,HOrg02G.002C Any Size Group - HMO,Miscellaneous Filing for Information,Closed - Rejected,TXLF-129900532,3,129900532,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129900532,True,https://filingaccess.serff.com/sfa/home/TX,[],1/28/15
"AECC TOTAL VISION HEALTH PLAN OF TEXAS, INC",95302.0,Provider Notification,HOrg02G.002D Any Size Group - Other,Miscellaneous Filing for Information,Closed - Reviewed,TXLF-129891674,3,129891674,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129891674,True,https://filingaccess.serff.com/sfa/home/TX,[],1/22/15
Aetna Better Health of Texas Inc,95040.0,Aetna Better Health of Texas,H03I.000 Health - Accidental Death & Dismemberment,Miscellaneous Filing for Information,Closed - Rejected,AETN-131256113,4,131256113,TX,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131256113,True,https://filingaccess.serff.com/sfa/home/TX,[],11/3/17
