Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Nationwide Life Insurance Company,66869.0,Critical Illness 2020,H07G.002 Dread Disease,Form/Rate,Closed - Approved and Filed,NWLC-132384469,116,132384469,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132384469,True,https://filingaccess.serff.com/sfa/home/VA,[],ui-button
Nationwide Life Insurance Company,66869.0,Critical Illness Rider,H07G.001 Critical Illness,Form/Rate/Application,Closed - Approved and Filed,NWLC-125606161,116,125606161,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125606161,True,https://filingaccess.serff.com/sfa/home/VA,"['Critical Illness Rider', 'Policyholder Application', 'Memorandum']",7/12/08
Nationwide Life Insurance Company,66869.0,Critical Illness Wellness Rider Withdrawal,H07G.002 Dread Disease,Informational,Closed - Withdrawn,NWLC-133853128,116,133853128,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133853128,True,https://filingaccess.serff.com/sfa/home/VA,['Wellness/Genetic Testing Benefit Rider'],10/13/23
Nationwide Life Insurance Company,66869.0,"Dental - Employer, Association, Student",H10G.000 Health - Dental,Form/Endorsement/Application/Rate,Closed - Approved,NWLC-125991623,116,125991623,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125991623,True,https://filingaccess.serff.com/sfa/home/VA,"['Dental Policy', 'Certificate of Coverage', 'Schedule of Benefits', 'Application', 'Enrollment Form – Association/Students', 'Cosmetic Benefit Insurance Rider', 'Maximum Roll Forward Insurance Rider', 'AMENDMENT', 'Dental Policy', 'Dental Policy', 'Dental Policy', 'Dental Policy', 'Certificate of Coverage', 'Certificate of Coverage', 'Certificate of Coverage', 'Certificate of Coverage', 'Certificate of Coverage', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Application', 'Application', 'Enrollment Form – Association/Students', 'Enrollment Form – Association/Students', 'Enrollment Form – Employee', 'Cosmetic Benefit Insurance Rider', 'Maximum Roll Forward Insurance Rider', 'Wellness and/or Health Care Services Endorsement', 'AMENDMENT', 'AMENDMENT NO. 1 to NSHDTL 2500', 'Dental Rating Manual']",1/27/09
Nationwide Life Insurance Company,66869.0,Dental - Small Group Filing,H10G.000 Health - Dental,Form,Closed - Received & Acknowledged,NWLC-127021847,116,127021847,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127021847,True,https://filingaccess.serff.com/sfa/home/VA,[],2/17/11
Nationwide Life Insurance Company,66869.0,Dental Amendment Filing,H10G.000 Health - Dental,Form/Rate,Closed - Approved and Filed,NWLC-125091738,116,125091738,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125091738,True,https://filingaccess.serff.com/sfa/home/VA,"['Certificate Endorsement', 'Stand Alone Dental Rates']",2/1/07
Nationwide Life Insurance Company,66869.0,Employer Health Benefits - Dental Vision Benefit Policy,H21.000 Health - Other,Form/Rate,Closed - Approved and Filed,NWLC-129893567,116,129893567,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129893567,True,https://filingaccess.serff.com/sfa/home/VA,"['Policy', 'Certificate', 'Certificate', 'Schedule of Benefits', 'Schedule of Benefits', 'Rate Manual', 'Rate Manual']",1/23/15
Nationwide Life Insurance Company,66869.0,Explanation of Benefits,H04.001 Student,Form,Closed - Withdrawn,NWLC-130715517,116,130715517,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130715517,True,https://filingaccess.serff.com/sfa/home/VA,['Explanation of Benefits'],9/1/16
Nationwide Life Insurance Company,66869.0,Federal Notice- Excepted Benefits,H21.000 Health - Other,Informational,Closed - Rejected,NWLC-134266272,116,134266272,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134266272,True,https://filingaccess.serff.com/sfa/home/VA,['Federal Notice'],10/2/24
Nationwide Life Insurance Company,66869.0,Federal Notice- Excepted Benefits,H21.000 Health - Other,Form,Closed - Approved,NWLC-134271725,116,134271725,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134271725,True,https://filingaccess.serff.com/sfa/home/VA,['Federal Notice'],10/3/24
Nationwide Life Insurance Company,66869.0,Fixed Indemnity Filing,H14G.000 Health - Hospital Indemnity,Form/Rate,Closed - Approved and Filed,NWLC-129445545,116,129445545,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129445545,True,https://filingaccess.serff.com/sfa/home/VA,"['Rider', 'Schedule of Benefits', 'Application', 'Policy', 'Certificate', 'Enrollment Form', 'Rider', 'Rider', 'Rider', 'Rider', 'Rider', 'Rider', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Schedule of Benefits', 'Application', 'Application', 'Application', 'Application', 'Application', 'Application', 'Policy', 'Policy', 'Policy', 'Policy', 'Certificate', 'Certificate', 'Certificate', 'Certificate', 'Certificate', 'Certificate', 'Certificate', 'Enrollment Form', 'Enrollment Form', 'Enrollment Form', 'Rate Manual', 'Rate Manual', 'Rate Manual']",3/6/14
Nationwide Life Insurance Company,66869.0,Fixed Indemnity Filing - Amendment,H14G.000 Health - Hospital Indemnity,Form,Closed - Approved,NWLC-132865155,116,132865155,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132865155,True,https://filingaccess.serff.com/sfa/home/VA,['Amendment'],6/10/21
Nationwide Life Insurance Company,66869.0,Gap Medical,H21.000 Health - Other,Form,Closed - Approved,NWLC-133976898,117,133976898,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133976898,True,https://filingaccess.serff.com/sfa/home/VA,"['Policy', 'Certificate', 'Policy', 'Policy', 'Policy', 'Certificate', 'Certificate', 'Certificate']",2/1/24
Nationwide Life Insurance Company,66869.0,GAP Medical Filing,H21.000 Health - Other,Form/Rate,Closed - Approved and Filed,NWLC-129754304,117,129754304,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129754304,True,https://filingaccess.serff.com/sfa/home/VA,"['Group Policy', 'Certificate', 'Schedule of Benefits', 'Group Application', 'Enrollment Form', 'Group Policy', 'Certificate', 'Certificate', 'Schedule of Benefits', 'Group Application', 'Enrollment Form', 'Rate Manual', 'Rate Manual']",12/18/14
Nationwide Life Insurance Company,66869.0,GAP Medical Filing 2018,H21.000 Health - Other,Form/Rate,Closed - Approved and Filed,NWLC-131264393,117,131264393,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131264393,True,https://filingaccess.serff.com/sfa/home/VA,"['Group Policy', 'Certificate', 'Schedule of Benefits', 'Certificate', 'Rate Manual', 'Rate Manual']",4/26/18
Nationwide Life Insurance Company,66869.0,Generic Prescription Drug,H17G.000 Health - Prescription Drug,Form/Rate/Application,Closed - Approved,USPH-6Q3HW8873/00-00/00-00/00,117,6Q3HW8873/00,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6Q3HW8873/00,True,https://filingaccess.serff.com/sfa/home/VA,"['Group Policy', 'Certificate', 'Schedule of Benefits', 'Certificate', 'Rate Manual', 'Rate Manual']",4/26/18
Nationwide Life Insurance Company,66869.0,Generic Prescription Drug 2007,H17G.000 Health - Prescription Drug,Form/Rate,Closed - Approved,NWLC-125334821,117,125334821,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125334821,True,https://filingaccess.serff.com/sfa/home/VA,"['Generic Prescription Drug Policy', 'Generic Prescription Drug Certificate of Coverage', 'Generic Prescription Drug Employer Application', 'Generic Prescription Drug Employee Application', 'John Doe Application', 'John Doe Application', 'Actuarial Memorandum']",1/11/08
Nationwide Life Insurance Company,66869.0,Group Accident,H02G.000 Health - Accident Only,Form/Endorsement,Closed - Approved,NWLC-133927430,117,133927430,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133927430,True,https://filingaccess.serff.com/sfa/home/VA,"['Policy', 'Certificate of Coverage', 'Accidental Death and Dismemberment Benefit Rider', 'Certificate of Coverage']",12/20/23
Nationwide Life Insurance Company,66869.0,Group Caregiver Family Leave Filing,H21.000 Health - Other,Form/Rate,Closed - Closed Other,NWLC-132620641,117,132620641,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132620641,True,https://filingaccess.serff.com/sfa/home/VA,"['Group Caregiver Family Leave Policy', 'Group Caregiver Family Leave Certificate', 'Group Caregiver Family Leave Application', 'Group Caregiver Family Leave Employee Enrollment Form', 'Group Caregiver Family Leave Policy', 'Group Caregiver Family Leave Certificate', 'Rate Manual']",11/24/20
Nationwide Life Insurance Company,66869.0,Group Critical Illness,H07G.002 Dread Disease,Form,Closed - Approved,NWLC-133928699,117,133928699,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133928699,True,https://filingaccess.serff.com/sfa/home/VA,"['Policy', 'Certificate of Coverage', 'Schedule of Benefits']",12/20/23
Nationwide Life Insurance Company,66869.0,Group Critical Illness Amendment,H07G.002 Dread Disease,Form,Closed - Approved,NWLC-133597118,117,133597118,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133597118,True,https://filingaccess.serff.com/sfa/home/VA,['Amendment'],3/24/23
Nationwide Life Insurance Company,66869.0,Group Dental,H10G.000 Health - Dental,Form/Rate,Closed - Disapproved,NWLC-131432891,117,131432891,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131432891,True,https://filingaccess.serff.com/sfa/home/VA,"['Schedule of Benefits', 'Rate Manual']",4/26/18
Nationwide Life Insurance Company,66869.0,Group Dental 2020,H10G.000 Health - Dental,Form,Closed - Filed,NWLC-132226968,117,132226968,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132226968,True,https://filingaccess.serff.com/sfa/home/VA,"['Dental Implant Rider', 'Policy', 'Certificate', 'Schedule of Benefits']",8/14/20
Nationwide Life Insurance Company,66869.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form,Closed - Approved,NWLC-133928560,117,133928560,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133928560,True,https://filingaccess.serff.com/sfa/home/VA,"['Policy', 'Certificate of Coverage']",12/20/23
Nationwide Life Insurance Company,66869.0,Group Prescription Drug,H17G.000 Health - Prescription Drug,Form/Rate,Closed - Approved and Filed,NWLC-131912255,117,131912255,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131912255,True,https://filingaccess.serff.com/sfa/home/VA,"['Policy', 'Application', 'Certificate', 'Certificate', 'Enrollment Form', 'Enrollment Form', 'Mandated Benefit Rider', 'Mandated Benefit Rider', 'Underwriting Manual and Rating']",6/21/19
Nationwide Life Insurance Company,66869.0,Hospital Indemnity Amendment 2023,H14G.000 Health - Hospital Indemnity,Form,Closed - Approved,NWLC-133780257,117,133780257,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133780257,True,https://filingaccess.serff.com/sfa/home/VA,['Amendment'],9/21/23
Nationwide Life Insurance Company,66869.0,K-12,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,NWLC-125128994,117,125128994,VA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125128994,True,https://filingaccess.serff.com/sfa/home/VA,"['Student Accident Policy', 'Application']",3/16/07
