Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Securian Life Insurance Company,93742.0,Securian Form Filing,H10G.000 Health Dental,Form,Closed - Approved,BRSH-131501534,1,131501534,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131501534,True,https://filingaccess.serff.com/sfa/home/VT,[],ui-button
Securian Life Insurance Company,93742.0,Securian Form Filing,H10G.000 Health Dental,Form,Closed - Disapproved-Final,BRSH-131339944,1,131339944,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131339944,True,https://filingaccess.serff.com/sfa/home/VT,"['Certificate of Coverage', 'Certificate of Coverage', 'Application For Group Insurance', 'Membership Enrollment Form', 'GROUP DENTAL PLAN CONTRACT SIGNATURE PAGE', 'Master Dental Contract Application Pooled Programs', 'Vermont Mandatory Civil Unions Endorsement']",1/17/18
Securian Life Insurance Company,93742.0,Securian Form Filing,H10G.000 Health Dental,Form,Closed - Disapproved-Final,BRSH-131276468,1,131276468,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131276468,True,https://filingaccess.serff.com/sfa/home/VT,"['Certificate of Coverage', 'Application For Group Insurance', 'Membership Enrollment Form', 'GROUP DENTAL PLAN CONTRACT SIGNATURE PAGE', 'Master Dental Contract Application Pooled Programs', 'Vermont Mandatory Civil Unions Endorsement']",12/4/17
Security Mutual Life Insurance Company of New York,68772.0,2016 SML-Revised-MVM,H02G.000 Health - Accident Only,Form,Closed - Approved,CMPL-130411998,1,130411998,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130411998,True,https://filingaccess.serff.com/sfa/home/VT,[],1/28/16
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002C Large Group Only - Other,Form,Closed - Approved,BCSF-130866203,1,130866203,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130866203,True,https://filingaccess.serff.com/sfa/home/VT,"['Group Certificate', 'Group Certificate', 'Group Certificate', 'Group Policy', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Group Application']",1/10/17
4 Ever Life Insurance Company,80985.0,4EL 2024 ExPat,H16G.002C Large Group Only - Other,Form,Pending Department Review,BCSF-134568634,1,134568634,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134568634,True,https://filingaccess.serff.com/sfa/home/VT,"['Group Policy', 'Group Certificate', 'Schedule of Benefits', 'Group Application', 'AD & D Rider', 'Dental Services Rider', 'Emergency Rreatment in the US Rider', 'Medical Assistance Rider', 'Travel Benefit Rider', 'Vision Care Rider', 'Canadian Coverage Rider', 'Rate Manual']",6/12/25
4 Ever Life Insurance Company,80985.0,4EL--Inbound Group Short Term Student Accident and Sickness Policy,H15G.002 Large Group Only,Form,Closed - Disapproved-Final,MCHX-128949318,1,128949318,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128949318,True,https://filingaccess.serff.com/sfa/home/VT,"['Group Short Term Student Accident and Sickness Policy', 'Group Short Term Student Accident and Sickness Certificate', 'Group Short Term Student Accident and Sickness Master Application']",3/19/13
4 Ever Life Insurance Company,80985.0,Form 28.1322(VT)(2) Group Short Term Student Accident and Sickness Policy,H15G.002 Large Group Only,Form,Closed - Disapproved-Final,MCHX-128950511,1,128950511,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128950511,True,https://filingaccess.serff.com/sfa/home/VT,"['Group Short Term Student Accident and Sickness Policy', 'Group Short Term Student Accident and Sickness Certificate', 'Group Application']",3/20/13
4 Ever Life Insurance Company,80985.0,Form 54.1402 Global Citizens Short Term Medical,H16G.004 Short Term,Form,Closed - Withdrawn by Company,MCHX-129173427,1,129173427,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129173427,True,https://filingaccess.serff.com/sfa/home/VT,"['Group Short Term Medical - Global Citizen Certificate', 'Global Citizen State Endorsement', 'Global Citizen Enrollment Form']",8/29/13
4 Ever Life Insurance Company,80985.0,Form 55.1301 4 Ever Life Travel Gap - Short Term M,H19G.000 Health - Travel,Form,Closed - Disapproved-Final,MCHX-129177657,1,129177657,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129177657,True,https://filingaccess.serff.com/sfa/home/VT,"['Group Short Term Medical Certificate', 'Enrollment Form']",8/26/13
4 Ever Life Insurance Company,80985.0,Form 55.202 Business Traveler Blanket Insurance -,H04.000 Health - Blanket Accident /Sickness,Form,Closed - Approved,MCHX-G128718670,1,G128718670,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128718670,True,https://filingaccess.serff.com/sfa/home/VT,"['Group Short Term Medical Certificate', 'Enrollment Form']",8/26/13
4 Ever Life Insurance Company,80985.0,Group Major Medical,H16G.002C Large Group Only - Other,Form,Closed - Approved,BCSF-127963460,1,127963460,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127963460,True,https://filingaccess.serff.com/sfa/home/VT,"['Group Policy', 'Group Policy', 'Certificate of Coverage', 'Certificate of Coverage', 'Group Application', 'Outline of Coverage']",1/6/12
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - Approved,FIVE-132198490,1,132198490,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132198490,True,https://filingaccess.serff.com/sfa/home/VT,"['Accident Certificate', 'Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Sickness Confinement Rider', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form']",2/8/20
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form,Closed - Approved,FIVE-132329293,1,132329293,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132329293,True,https://filingaccess.serff.com/sfa/home/VT,"['Policy', 'Certificate', 'Certificate', 'Schedule of Benefits']",8/17/20
AAA Life Insurance Company,71854.0,Accident Product,H02I.000 Health - Accident Only,Form,Closed - Approved,AAAL-131290779,1,131290779,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131290779,True,https://filingaccess.serff.com/sfa/home/VT,"['Accidental Death Insurance Policy', 'Accidental Death Insurance Policy', 'Accidental Death Insurance Policy', 'Lifetime Membership Benefit Endorsement', 'Spouse Coverage Rider', 'Child Coverage Rider', 'Child Coverage Rider', 'Additional Airline & Common Carrier Accidental Death Rider', 'Additional Automobile & Pedestrian Accidental Death Rider']",1/25/18
AAA Life Insurance Company,71854.0,GA80081et al,Other,Form,Closed - Denied,AAAL-125535588,1,125535588,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125535588,True,https://filingaccess.serff.com/sfa/home/VT,"['Group Accident Insurance Certficiate', 'Common Carrier & Scheduled Airline Travel Accident Endorsement', 'Enrollment Form']",3/11/08
AAA Life Insurance Company,71854.0,Group Term - Riders (Accident),H02G.000 Health - Accident Only,Form,Closed - Withdrawn by Company,AAAL-130947711,1,130947711,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130947711,True,https://filingaccess.serff.com/sfa/home/VT,"['Accidental Death Benefit Rider', 'Accidental Death Benefit Rider', 'Accidental Death Benefit Rider', 'Travel Accident Rider', 'Travel Accident Rider', 'Travel Accident Rider', 'Daily Benefit Rider', 'Daily Benefit Rider']",3/6/17
