state,min_date,max_date,count,non_empty_form_name
AL,2006-10-31,2025-10-27,8900,8273
AR,2006-10-30,2025-10-30,10719,9704
AZ,2006-07-26,2025-10-28,9202,7177
CA,2009-06-22,2025-10-28,10470,5895
CO,2006-10-30,2025-10-23,15519,6260
CT,2006-10-30,2025-10-29,9173,8026
DC,2006-10-31,2025-10-20,8261,7460
DE,2006-10-30,2025-10-24,7277,7031
GA,2008-12-15,2025-10-31,9177,7576
GU,2012-10-01,2025-09-23,816,230
HI,2012-05-17,2025-10-31,2653,2173
IA,2006-10-30,2025-10-13,10189,9337
ID,2006-10-31,2025-10-31,14906,13627
IL,1990-06-20,2025-10-27,19815,14136
IN,2006-11-03,2025-10-30,5534,5257
KS,2006-11-07,2025-10-30,13345,11998
KY,2012-05-17,2025-10-31,3109,2885
LA,2012-05-17,2025-10-30,4992,4439
MA,1977-01-01,2029-10-22,8997,7288
MD,1999-10-12,2025-06-02,564,537
ME,1999-12-22,2025-10-23,2371,1967
MI,2006-11-01,2025-10-31,15819,10639
MN,2006-11-02,2025-10-16,5304,4941
MO,2005-04-15,2025-10-24,18382,16812
MT,2008-03-20,2025-10-01,6489,5513
NC,2006-10-30,2025-10-30,12535,10809
ND,2006-10-31,2025-10-17,7529,6963
NE,2005-09-06,2025-10-21,5385,5008
NH,2007-01-05,2025-10-28,3253,2714
NJ,2006-10-31,2025-10-02,6564,6211
NM,2007-06-28,2025-10-29,10757,7479
NV,2008-09-09,2025-10-29,5924,5339
NY,2017-12-27,2025-10-17,836,834
OH,2006-11-02,2025-10-30,12641,12148
OK,2003-11-24,2025-10-30,8320,7602
OR,2006-10-30,2025-10-31,10449,8156
PA,2006-10-06,2025-10-16,10747,9986
RI,2006-11-02,2025-10-29,6509,5369
SC,2006-10-31,2025-10-29,9903,8725
SD,2006-10-31,2025-10-29,8614,7740
TN,2007-08-17,2025-10-31,8709,8065
TX,2012-05-17,2025-10-30,2854,1751
UT,2006-10-30,2025-10-27,13132,12391
VA,2006-10-30,2025-10-30,7142,6668
VT,2006-11-06,2025-10-24,6203,5527
WA,2002-05-09,2025-10-30,21288,20950
