Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date,flesch_reading_ease
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002C Large Group Only - Other,Form,Closed - Approved,BCSF-130897115,1,130897115,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130897115,True,https://filingaccess.serff.com/sfa/home/SD,[],ui-button,[]
4 Ever Life Insurance Company,80985.0,4EL 2024 ExPat,H16G.002C Large Group Only - Other,Form,Closed - Approved,BCSF-134492004,1,134492004,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134492004,True,https://filingaccess.serff.com/sfa/home/SD,"['Group Policy', 'Group Certificate', 'Schedule of Benefits', 'Dental Services Rider', 'AD & D Rider', 'Vision Care Rider', 'Medical Assistance Rider', 'Emergency Services Care in the US', 'Travel Benefit Rider', 'Group Application']",4/16/25,[]
4 Ever Life Insurance Company,80985.0,Form 28.1302 Blanket Student Accident & Sickness -,H04.001 Student,Form,Closed - Approved,MCHX-G128324507,1,G128324507,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128324507,True,https://filingaccess.serff.com/sfa/home/SD,"['Group Policy', 'Group Certificate', 'Schedule of Benefits', 'Dental Services Rider', 'AD & D Rider', 'Vision Care Rider', 'Medical Assistance Rider', 'Emergency Services Care in the US', 'Travel Benefit Rider', 'Group Application']",4/16/25,[]
4 Ever Life Insurance Company,80985.0,Form 28.1322 Blanket Student Study Abroad Accident,H04.001 Student,Form,Closed - Approved,MCHX-G128434358,1,G128434358,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128434358,True,https://filingaccess.serff.com/sfa/home/SD,"['Group Policy', 'Group Certificate', 'Schedule of Benefits', 'Dental Services Rider', 'AD & D Rider', 'Vision Care Rider', 'Medical Assistance Rider', 'Emergency Services Care in the US', 'Travel Benefit Rider', 'Group Application']",4/16/25,[]
4 Ever Life Insurance Company,80985.0,Form 54.1403 - 4 Ever Life Global Citizens Short T,H16G.004 Short Term,Form,Closed - Disapproved,MCHX-128894298,1,128894298,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128894298,True,https://filingaccess.serff.com/sfa/home/SD,"['Group Short Term Medical - Global Citizen Certificate', 'State Endorsement']",2/13/13,[]
4 Ever Life Insurance Company,80985.0,Form 54.1403 - 4 Ever Life Global Citizens Short T,H16G.004 Short Term,Form,Closed - Approved,MCHX-129181785,1,129181785,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129181785,True,https://filingaccess.serff.com/sfa/home/SD,"['Group Short Term Medical - Global Citizen Certificate', 'State Endorsement', 'State Endorsement', 'Global Citizen Rate Manual']",8/28/13,[]
4 Ever Life Insurance Company,80985.0,Form 55.1301 4 Ever Life Travel Gap - Short Term M,H19G.000 Health - Travel,Form,Closed - Approved,MCHX-129183166,1,129183166,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129183166,True,https://filingaccess.serff.com/sfa/home/SD,"['Group Short Term Medical Certificate', 'Enrollment Form', 'South Dakota Endorsement', 'South Dakota Endorsement', 'Rate Manual']",8/29/13,[]
4 Ever Life Insurance Company,80985.0,Form 55.202 Business Traveler Blanket Insurance -,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,MCHX-G128552420,1,G128552420,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128552420,True,https://filingaccess.serff.com/sfa/home/SD,"['Group Short Term Medical Certificate', 'Enrollment Form', 'South Dakota Endorsement', 'South Dakota Endorsement', 'Rate Manual']",8/29/13,[]
4 Ever Life Insurance Company,80985.0,Group Major Medical,H16G.002A Large Group Only - PPO,Form,Closed - Approved,BCSF-128590415,1,128590415,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128590415,True,https://filingaccess.serff.com/sfa/home/SD,['Certificate Amendatory Endorsement'],7/23/12,[]
4 Ever Life Insurance Company,80985.0,Group Major Medical,H16G.002C Large Group Only - Other,Form,Closed - Approved,BCSF-127319996,1,127319996,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127319996,True,https://filingaccess.serff.com/sfa/home/SD,"['Group Policy', 'Certificate of Coverage', 'Certificate of Coverage', 'Certificate of Coverage', 'Group Application']",7/13/11,[]
5 Star Life Insurance Company,77879.0,Critical Illness,H07G.001 Critical Illness,Form,Closed - Disapproved,FIVE-127332453,1,127332453,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127332453,True,https://filingaccess.serff.com/sfa/home/SD,"['Group Critical Illness Employer Master Policy', 'Employee Critical Illness Certificate', 'Application for Critical Illness Insurance-Employee', 'Employer Application for Group Insurance']",8/12/11,[]
5 Star Life Insurance Company,77879.0,Gap Rider 2024,H25G.001 Any Size Group,Form,Closed - Approved,FIVE-134382216,1,134382216,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134382216,True,https://filingaccess.serff.com/sfa/home/SD,['Supplemental Medical Expense Rider'],1/16/25,[]
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - Approved,FIVE-132465857,1,132465857,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132465857,True,https://filingaccess.serff.com/sfa/home/SD,['Endorsement'],1/6/22,[]
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - Approved,FIVE-132198483,1,132198483,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132198483,True,https://filingaccess.serff.com/sfa/home/SD,"['Accident Certificate', 'Accident Certificate', 'Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Sickness Confinement Rider', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form', 'Base Accident Product Rate Manual', 'Sickness Confinement Rider Rate Manual']",2/8/20,[]
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form,Closed - Approved,FIVE-132308575,1,132308575,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132308575,True,https://filingaccess.serff.com/sfa/home/SD,"['Policy', 'Certificate', 'Schedule of Benefits', 'Rating Manual']",3/23/20,[]
[]Fortis Benefits Insurance Company,-99.0,PC-DEN-196,Group Health - Dental,Form,Closed - Approved,SERT-4YKR8U734/00-00/00-00/00,1,4YKR8U734/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=4YKR8U734/00,True,https://filingaccess.serff.com/sfa/home/SD,"['Policy', 'Certificate', 'Schedule of Benefits', 'Rating Manual']",3/23/20,[]
[]Metropolitan Life Insurance Company,-99.0,Group Life and Accident and Health Insurance Forms,Group Health - Accident/Sickness,Form,Closed - Disapproved,SERT-4Z2LT8517/00-00/00-00/00,1,4Z2LT8517/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=4Z2LT8517/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
[]Monumental Life Insurance Company,-99.0,Financial Supplement Questionnaire,Individual Health - Disability Income,Form,Closed - Approved,SERT-524KKK132/00-00/00-00/00,1,524KKK132/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=524KKK132/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,Accident Product,H02I.000 Health - Accident Only,Form/Rate,Closed - Approved,AAAL-131290466,1,131290466,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131290466,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,Accident Product,H02I.000 Health - Accident Only,Form,Closed - Approved,AAAL-131455361,1,131455361,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131455361,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
