Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Security Mutual Life Insurance Company of New York,68772.0,2016 SML-Revised-MVM,H02G.000 Health - Accident Only,Form,Closed - Closed For Informational Purposes Only,CMPL-130411995,1,130411995,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130411995,True,https://filingaccess.serff.com/sfa/home/SC,[],ui-button
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002C Large Group Only - Other,Form,Closed - Closed For Informational Purposes Only,BCSF-130843741,1,130843741,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130843741,True,https://filingaccess.serff.com/sfa/home/SC,"['Group Certificate', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Group Application', 'Enrollment Form']",12/13/16
4 Ever Life Insurance Company,80985.0,Form 28.1302 Blanket Student Accident & Sickness -,H04.001 Student,Form,Closed - Closed For Informational Purposes Only,MCHX-G128077616,1,G128077616,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128077616,True,https://filingaccess.serff.com/sfa/home/SC,"['Group Certificate', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Group Application', 'Enrollment Form']",12/13/16
4 Ever Life Insurance Company,80985.0,Form 28.1322 Blanket Student Study Abroad Accident,H04.001 Student,Form,Closed - Closed For Informational Purposes Only,MCHX-G128357894,1,G128357894,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128357894,True,https://filingaccess.serff.com/sfa/home/SC,"['Group Certificate', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Group Application', 'Enrollment Form']",12/13/16
4 Ever Life Insurance Company,80985.0,Form 54.1402 - 4 Ever Life Global Citizens Short T,H16G.004 Short Term,Form/Rate,Closed - Closed For Informational Purposes Only,MCHX-G128496181,1,G128496181,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128496181,True,https://filingaccess.serff.com/sfa/home/SC,"['Group Certificate', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Group Application', 'Enrollment Form']",12/13/16
4 Ever Life Insurance Company,80985.0,Form 55.1301 4 Ever Life Travel Gap - Short Term M,H19G.000 Health - Travel,Form,Closed - Closed For Informational Purposes Only,MCHX-G128310873,1,G128310873,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G128310873,True,https://filingaccess.serff.com/sfa/home/SC,"['Group Certificate', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Group Application', 'Enrollment Form']",12/13/16
4 Ever Life Insurance Company,80985.0,Form 55.202 Business Traveler Blanket Insurance -,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Closed For Informational Purposes Only,MCHX-G127622628,1,G127622628,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=G127622628,True,https://filingaccess.serff.com/sfa/home/SC,"['Group Certificate', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Medical Assistance Rider', 'Group Application', 'Enrollment Form']",12/13/16
4 Ever Life Insurance Company,80985.0,Group Major Medical,H16G.002C Large Group Only - Other,Form/Rate,Closed - Closed For Informational Purposes Only,BCSF-127306233,1,127306233,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127306233,True,https://filingaccess.serff.com/sfa/home/SC,"['Certificate of Coverage', 'Group Application / Request to Participate', 'Enrollment Form', 'Rate Manual']",7/1/11
5 Star Life Insurance Company,77879.0,Gap Rider 2024,H15G.001 Any Size Group,Form,Closed - Closed Exempt,FIVE-134330133,1,134330133,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134330133,True,https://filingaccess.serff.com/sfa/home/SC,['Supplemental Medical Expense Rider'],11/26/24
5 Star Life Insurance Company,77879.0,Group - Critical Illness,H07G.002 Dread Disease,Form,Closed - Closed Exempt,FIVE-125883343,1,125883343,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125883343,True,https://filingaccess.serff.com/sfa/home/SC,"['Group Critical Illness Employer Master Policy', 'Employee Critical Illness Certificate', 'Application for Critical Illness Insurance - Employee', 'Employer Application for Group Insurance']",10/31/08
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - Closed Exempt,FIVE-132254674,1,132254674,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132254674,True,https://filingaccess.serff.com/sfa/home/SC,"['Accident Certificate', 'Schedule of Benefits', 'Accident Policy', 'Sickness Confinement Rider', 'Group Application', 'Enrollment Form']",2/8/20
5 Star Life Insurance Company,77879.0,Group Accident,H02G.000 Health - Accident Only,Form,Closed - Closed Exempt,FIVE-132465843,1,132465843,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132465843,True,https://filingaccess.serff.com/sfa/home/SC,['Endorsement'],1/6/22
5 Star Life Insurance Company,77879.0,Group Critical Illness Rider,H07G.002 Dread Disease,Form,Closed - Closed Exempt,FIVE-127287093,1,127287093,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127287093,True,https://filingaccess.serff.com/sfa/home/SC,"['Employer Paid Rider', 'Employer Paid Rider (Without Brackets)']",6/22/11
5 Star Life Insurance Company,77879.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form,Closed - Closed Exempt,FIVE-132308574,1,132308574,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132308574,True,https://filingaccess.serff.com/sfa/home/SC,"['Policy', 'Certificate', 'Schedule of Benefits']",3/23/20
5 Star Life Insurance Company,77879.0,Redomestication 2018-H,H21.000 Health - Other,Form,Closed - Approved,FIVE-131636864,1,131636864,SC,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131636864,True,https://filingaccess.serff.com/sfa/home/SC,['Redomestication Endorsement'],8/31/18
