Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Loyal American Life Insurance Company,65722.0,LG-5061,H07G.001 Critical Illness,Form,Closed - Disapproved,SERT-6SPS4R722/00-00/00-00/00,47,6SPS4R722/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6SPS4R722/00,True,https://filingaccess.serff.com/sfa/home/SD,[],ui-button
Loyal American Life Insurance Company,65722.0,LG-6040 in SD,H07G.002A Dread Disease - Cancer Only,Form,Closed - Withdrawn,UTAC-125198293,47,125198293,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125198293,True,https://filingaccess.serff.com/sfa/home/SD,"['Group Cancer Expense Insurance Policy', 'Application for Cancer Expense Insurance', 'Certificate of Cancer Expense Insurance', 'Annual Cancer Screening Benefit Rider', 'Annual Cancer Screening Benefit Rider for Certificate', 'Daily Hospital Confinement Benefit Rider', 'Daily Hospital Confinement Benefit Rider for Certificate', 'First Occurrence Benefit Rider', 'First Occurrence Benefit Rider for Certificate', 'First Occurrence Building Benefit Rider', 'First Occurrence Building Benefit Rider for Certificate', 'Annual Radiation, Chemotherapy, Immunotherapy, and Experimental Treatment Benefit Rider', 'Annual Radiation, Chemotherapy, Immunotherapy, and Experimental Treatment Benefit Rider for Certificate', 'Daily Radiation, Chemotherapy, Immunotherapy, and Experimental Treatment Benefit Rider', 'Daily Radiation, Chemotherapy, Immunotherapy, and Experimental Treatment Benefit Rider for Certificate', 'Hospital Intensive Care Unit Benefit Rider', 'Hospital Intensive Care Unit Benefit Rider for Certificate', 'Surgical Benefits Rider', 'Surgical Benefits Rider for Certificate', 'Enrollment Form (Contingent Issue)', 'Enrollment Form (Full)', 'Specified Disease Benefit Rider', 'Specified Disease Benefit Rider for Certificate', 'Actuarial Memorandum/Rates']",6/5/07
Loyal American Life Insurance Company,65722.0,Limited Benefit Cancer Expense Policy,H07I.002A Dread Disease - Cancer Only,Form/Rate,Closed - Approved,UTAC-125087154,47,125087154,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125087154,True,https://filingaccess.serff.com/sfa/home/SD,"['Limited Benefit Cancer Expense Policy', 'Limited Benefit Cancer Expense Policy', 'Limited Benefit Cancer Expense Policy Amendment', 'Annual Cancer Screening Benefit Rider', 'Daily Hospital Confinement Benefit Rider', 'First Occurrence Benefit Rider', 'First Occurrence Building Benefit Rider', 'Annual Radiation, Chemotherapy, Immunotherapy, and Experimental Treatment Benefit Rider', 'Daily Radiation, Chemotherapy, Immunotherapy, and Experimental Treatment Benefit Rider', 'Hospital Intensive Care Unit Benefit Rider', 'Hospital Intensive Care Unit Benefit Rider', 'Surgical Benefits Rider', 'Payroll Application Form', 'Direct Application Form', 'Specified Disease Benefit Rider', 'Specified Disease Benefit Rider', 'Actuarial Memorandum/Rates']",1/22/07
Loyal American Life Insurance Company,65722.0,Long Term Care,LTC05I.001 Qualified,Form,Closed - Approved,UTAC-125818356,47,125818356,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125818356,True,https://filingaccess.serff.com/sfa/home/SD,"['Long Term Care Application', 'Comprehensive Long Term Care Policy', 'Facility Only Long Term Care Policy', 'Facility Only Outline of Coverage', 'Comprehensive Outline of Coverage']",9/16/08
Loyal American Life Insurance Company,65722.0,Long Term Care Application,LTC05I.001 Qualified,Form,Closed - Approved,UTAC-125137626,47,125137626,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125137626,True,https://filingaccess.serff.com/sfa/home/SD,"['Long Term Care Application', 'Long-Term Care Insurance Personal Worksheet']",4/24/07
Loyal American Life Insurance Company,65722.0,Loyal American Life Insurance Company,H14I.000 Health - Hospital Indemnity,Form/Rate,Closed - Approved,UTAC-134092674,47,134092674,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134092674,True,https://filingaccess.serff.com/sfa/home/SD,"['Individual Hospital Indemnity Insurance Policy', 'Individual Hospital Indemnity Insurance App', 'Individual Hospital Indemnity Insurance Policy outline of coverage', 'Individual Hospital Indemnity Insurance Policy schedule page', 'Ambulance services Indemnity Benefit Rider', 'Hospital admission Indemnity Benefit Rider', 'Intensive care unit Indemnity Benefit Rider', 'Outpatient diagnostic imaging Benefit Rider', 'Premium Rates']",5/29/24
Loyal American Life Insurance Company,65722.0,Loyal FDC/FDH,H07I.001 Critical Illness,Form/Rate,Closed - Approved,UTAC-127366572,47,127366572,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127366572,True,https://filingaccess.serff.com/sfa/home/SD,"['First Diagnosis Cancer Insurance Policy', 'First Diagnosis Heart and Stroke Insurance Policy', 'First Diagnosis Cancer Rider', 'First Diagnosis Heart Rider', 'Specified Disease Rider', 'Return of Premium Rider', 'Return of Premium (85) Rider', 'Return of Premium Upon Termination (20 Year) Rider', 'Return of Premium Upon Termination (15 Year) Rider', 'Application for First Diagnosis Cancer Insurance Policy and/or First Diagnosis Heart and Stroke Insurance Policy', 'Application for First Diagnosis Cancer Insurance Policy', 'Application for First Diagnosis Heart and Stroke Insurance Policy', 'First Diagnosis Cancer Outline of Coverage', 'First Diagnosis Heart and Stroke Outline of Coverage', 'First Diagnosis Cancer Schedule Page', 'First Diagnosis Heart and Stroke Schedule Page', 'Accidental Death and Dismemberment Rider', 'Medicare Suplemental Application', 'First Diagnosis Cancer Insurance Policy', 'First Diagnosis Heart and Stroke Insurance Policy', 'First Diagnosis Heart and Stroke Insurance Policy', 'First Diagnosis Cancer Rider', 'First Diagnosis Heart Rider', 'Specified Disease Rider', 'Application for First Diagnosis Cancer Insurance Policy and/or First Diagnosis Heart and Stroke Insurance Policy', 'Application for First Diagnosis Cancer Insurance Policy', 'Application for First Diagnosis Heart and Stroke Insurance Policy', 'First Diagnosis Cancer Outline of Coverage', 'First Diagnosis Heart and Stroke Outline of Coverage', 'First Diagnosis Heart and Stroke Outline of Coverage', 'First Diagnosis Cancer Schedule Page', 'First Diagnosis Heart and Stroke Schedule Page', 'FDC Policy Actuarial Memorandum/Rates/Exhibits', 'FDH Policy Actuarial Memorandum/Rates/Exhibits', 'FDC Rider Actuarial Memorandum/Rates/Exhibits', 'FDH Rider Actuarial Memoradum/Rates/Exhibits', 'SD Rider Actuarial Memorandum/Rates/Exhibits', 'ROP Rider Actuarial Memorandum/Rates/Exhibits', 'ROP (85) Rider Actuarial Memorandum/Rates/Exhibits', 'ROP (20 Years) Rider Actuarial Memorandum/Rates/Exhibits', 'ROP (15 Years) Rider Actuarial Memorandum/Rates/Exhibits', 'AD&D Rider Actuarial Memorandum/Rates/Exhibits']",2/20/12
Loyal American Life Insurance Company,65722.0,Loyal L-5400,H21.000 Health - Other,Form,Closed - Approved,UTAC-125440021,47,125440021,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125440021,True,https://filingaccess.serff.com/sfa/home/SD,"['Hospital Confinement Policy', 'Hospital Confinement Policy', 'Application', 'Outline of Coverage', 'At Home Care Benefit', 'Daily Hospital Benefit', 'Physicians Benefit', 'Surgical Benefit', 'Cancer Benefit', 'AD&D Benefit', 'Ambulance Benefit', ""Durable Med'l Equip Benefit"", 'Guarantee Life Offer']",1/29/08
Loyal American Life Insurance Company,65722.0,Loyal LSC/LSH,H07I.001 Critical Illness,Form,Closed - Filed,UTAC-129631295,47,129631295,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129631295,True,https://filingaccess.serff.com/sfa/home/SD,"['Lump Sum Heart Schedule Page', 'Lump Sum Cancer Policy and Recurrence', 'Lump Sum Heart Policy and Restoration', 'Hospital and Intensive Care Unit Indemnity Rider', 'Hospital Indemnity Rider', 'Intensive Care Unit Rider', 'Lump Sum Cancer Rider', 'Lump Sum Heart Rider']",7/10/14
Loyal American Life Insurance Company,65722.0,Loyal LSC/LSH,H07I.001 Critical Illness,Form/Rate,Closed - Approved,UTAC-129368130,47,129368130,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129368130,True,https://filingaccess.serff.com/sfa/home/SD,"['Lump Sum Cancer Policy', 'Lump Sum Cancer Policy', 'Lump Sum Heart Policy', 'Lump Sum Heart Policy', 'Lump Sum Heart Policy', 'Lump Sum Cancer Schedule Page', 'Lump Sum Heart Schedule Page', 'Cancer Restoration Rider', 'Hospital and Intensive Care Unit Rider', 'Hospital and Intensive Care Unit Rider', 'Hospital and Intensive Care Unit Rider', 'Hospital Indemnity Benefit Rider', 'Hospital Indemnity Benefit Rider', 'Hospital Indemnity Benefit Rider', 'Heart and Stroke Restoration Benefit Rider', 'Intensive Care Unit Rider', 'Intensive Care Unit Rider', 'Intensive Care Unit Rider', 'Lump Sum Cancer Rider', 'Lump Sum Heart Rider', 'Lump Sum Heart Rider', 'Lump Sum Cancer and Heart Application', 'Lump Sum Cancer and Heart Application', 'Lump Sum Cancer and Heart Application', 'Lump Sum Cancer Outline of Coverage', 'Lump Sum Cancer Outline of Coverage', 'Lump Sum Cancer Outline of Coverage', 'Lump Sum Heart Outline of Coverage', 'Lump Sum Heart Outline of Coverage', 'Lump Sum Heart Outline of Coverage', 'Lump Sum Cancer Policy and Recurrence', 'Lump Sum Heart Policy and Restoration', 'Hospital and Intensive Care Unit Indemnity Rider', 'Hospital Indemnity Rider', 'Intensive Care Unit Rider', 'Lump Sum Cancer Rider', 'Lump Sum Heart Rider']",2/7/14
