Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
MVP Health Plan Incorporated,95521.0,VT Advertisements - No referral slicks,HOrg02G.002B Any Size Group - POS,Form,Closed - Approved,MVPH-126014385,55,126014385,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126014385,True,https://filingaccess.serff.com/sfa/home/VT,[],ui-button
MVP Health Plan Incorporated,95521.0,VT HMO CC Form,HOrg02I.005B Individual - Point-of-Service (POS),Form,Closed - Rejected,MVPH-125942113,55,125942113,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125942113,True,https://filingaccess.serff.com/sfa/home/VT,['No rReferral Amendment'],12/24/08
MVP Health Plan Incorporated,95521.0,VT HMO E-1 2009,HOrg02G.002C Any Size Group - HMO,Form,Closed - Approved,MVPH-126000033,55,126000033,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126000033,True,https://filingaccess.serff.com/sfa/home/VT,"['VT HDHP HMO E-1 2009', 'VT HDHP HMO E-1 2009', 'VT HDHP HMO E-1 2009', 'VT HMO E-1 2009', 'VT HMO E-1 2009', 'VT HDHP HMO E-1 2009']",1/23/09
MVP Health Plan Incorporated,95521.0,VT HMO Form,HOrg02G.002B Any Size Group - POS,Form,Closed - Approved,MVPH-125942091,55,125942091,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125942091,True,https://filingaccess.serff.com/sfa/home/VT,"['No referral amendment', 'OUT-OF-SYSTEM BENEFITS/POINT OF SERVICE', 'OUT-OF-SYSTEM BENEFITS/POINT OF SERVICE', 'OUT-OF-SYSTEM BENEFITS/POINT OF SERVICE']",12/24/08
"MVP Health Plan, Inc.",95521.0,10-29 Med Mgmt Amendment - VT HMO - FORM,HOrg02G.002C Any Size Group - HMO,Form,Closed - Approved,MVPH-126599802,55,126599802,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126599802,True,https://filingaccess.serff.com/sfa/home/VT,"['10AM5 VT HMO Amendment', '10AM5 VT HDHP HMO Amendment']",5/11/10
"MVP Health Plan, Inc.",95521.0,15-23 VT Direct Enrollment Form,HOrg02I.005D Individual - HMO,Form,Closed - Approved,MVPH-130290070,55,130290070,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130290070,True,https://filingaccess.serff.com/sfa/home/VT,"['MVP VT IND DIRECT ENROLL FORM (9/15)', 'MVP VT IND DIRECT ENROLL FORM (9/15)']",10/16/15
"MVP Health Plan, Inc.",95521.0,16-17 VT Direct Enrollment Form,HOrg02I.005D Individual - HMO,Form,Closed - Approved,MVPH-130549749,55,130549749,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130549749,True,https://filingaccess.serff.com/sfa/home/VT,['MVP VT IND DIRECT ENROLL FORM (3/16)'],4/28/16
"MVP Health Plan, Inc.",95521.0,17-31 VT HMO Lead-priority,HOrg02G.002C Any Size Group - HMO,Form,Closed - Approved,MVPH-131441502,55,131441502,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131441502,True,https://filingaccess.serff.com/sfa/home/VT,"['18AM301-VTHMO-G', '18AM302-VTHMO-RXOOP', 'Rider GV3H(MB/DH)700', 'Rider MV3H(MB/DH)307', 'Rider MV3H9(MB/DH)334L', 'Rider MV3H(MB/DH)335L', 'RIDER RXVT3HDH510', 'MEDVT3HMO049XSG', 'VT 3 HMO 2018 COC', 'VT 3 HMO 2018 COC', 'VT 3 HMO 2018 COC', 'MEDVT3HDH02AX-1820', 'MEDVT3HDH08AX-1822']",3/29/18
"MVP Health Plan, Inc.",95521.0,17-31 VT HMO Non-Exchange,HOrg02G.002C Any Size Group - HMO,Form,Closed - Approved,MVPH-131321571,55,131321571,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131321571,True,https://filingaccess.serff.com/sfa/home/VT,"['18AM301-VTHMO-G', '18AM302-VTHMO-RXOOP', 'Rider DV3H(MB/DH)312L', 'Rider GV3H(MB/DH)700', 'Rider MV3H(MB/DH)305L', 'Rider MV3H(MB/DH)306L', 'Rider MV3H(MB/DH)307', 'Rider MV3H(MB/DH)316L', 'Rider MV3H(MB/DH)317L', 'Rider MV3H9(MB/DH)334L', 'Rider MV3H(MB/DH)335L', 'Rider MV3H(MB/DH)356L', 'Rider MV3H(MB/DH)366L', 'Rider MV3H(MB/DH)366L', 'Rider MV3HMB309L', 'Rider RXVT3H(MB/DH)550L', 'Rider RXVT3H(MB/DH)551L', 'RIDER RXVT3HDH510', 'Rider RXVT3HMB500ZL', 'Rider RXVT3HMB501ZL', 'Rider RXVT3HMB501ZL', 'Rider RXVT3HMB502ZL', 'Rider RXVT3HMB502ZL', 'Rider RXVT3HMB605ZL', 'Rider YV3H(MB/DH)301L', 'Rider YV3H(MB/DH )310L', 'Rider YV3H(MB/DH)312', 'Rider YV3H(MB/DH)346L', 'MEDVT3HMO049XSG', 'MEDVT3HMO087ZL-692', 'MEDVT3HMO087ZL-692', 'MEDVT3HMO089ZL-693', 'MEDVT3HMO089ZL-693', 'MEDVT3HMO091ZL-694', 'MEDVT3HMO091ZL-694', 'MEDVT3HMO092ZL-695', 'MEDVT3HMO092ZL-695', 'MEDVT3HMO093ZL-696', 'MEDVT3HMO093ZL-696', 'MEDVT3HMO095ZL-697', 'MEDVT3HMO095ZL-697', 'MEDVT3HMO100ZL-698', 'MEDVT3HMO100ZL-698', 'MEDVT3HMO101ZL-699', 'MEDVT3HMO101ZL-699', 'MEDVT3HMO103ZL-700', 'MEDVT3HMO103ZL-700', 'MEDVT3HMO107ZL-701', 'MEDVT3HMO107ZL-701', 'MEDVT3HMO110ZL-702', 'MEDVT3HMO110ZL-702', 'MEDVT3HMO116ZL-703', 'MEDVT3HMO116ZL-703', 'MEDVT3HMO117ZL-704', 'MEDVT3HMO117ZL-704', 'MEDVT3HMO118ZL-705', 'MEDVT3HMO118ZL-705', 'MEDVT3HDH01AX-706', 'MEDVT3HDH01AX-706', 'MEDVT3HDH02AX-707', 'MEDVT3HDH07AX-708', 'MEDVT3HDH07AX-708', 'MEDVT3HDH08AX-709', 'MEDVT3HDH09AX-710', 'MEDVT3HDH09AX-710', 'MEDVT3HDH12AX-730', 'MEDVT3HDH12AX-730', 'MEDVT3HDH14AX-732', 'MEDVT3HDH14AX-732', 'MEDVT3HDH15AX-711', 'MEDVT3HDH15AX-711', 'MEDVT3HDH17AX-712', 'MEDVT3HDH17AX-712', 'MEDVT3HDH19EX-713', 'MEDVT3HDH19EX-713', 'MEDVT3HDH41EX-714', 'MEDVT3HDH41EX-714', 'MEDVT3HDH43EX-715', 'MEDVT3HDH43EX-715', 'MEDVT3HDH46AX-716', 'MEDVT3HDH46AX-716', 'MEDVT3HDH50EX-717', 'MEDVT3HDH50EX-717', 'MEDVT3HDH51EX-718', 'MEDVT3HDH51EX-718', 'MEDVT3HDH52AX-719', 'MEDVT3HDH52AX-719', 'MEDVT3HDH52EX-719', 'MEDVT3HDH52EX-719', 'MEDVT3HDH53EX-721', 'MEDVT3HDH53EX-721', 'MEDVT3HDH54AXSG', 'VT 3 HMO 2018 COC', 'VT 3 HMO 2018 COC']",3/1/18
"MVP Health Plan, Inc.",95521.0,18-02 VT Exchange Refile SBC,H16G.001C Any Size Group - Other,Form,Closed - Approved,MVPH-131551125,55,131551125,VT,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131551125,True,https://filingaccess.serff.com/sfa/home/VT,['MEDFRVT-HMO-G-002-N (2019)-1784'],6/21/18
