Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Security Mutual Life Insurance Company of New York,68772.0,SML SML-STD,H11G.002 Short Term,Form,Closed - Withdrawn,CMPL-130055462,1,130055462,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130055462,True,https://filingaccess.serff.com/sfa/home/WA,[],ui-button
4 Ever Life Insurance Company,80985.0,4EL 2016 ExPat,H16G.002C Large Group Only - Other,Form,Closed - Filed,BCSF-130909591,1,130909591,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130909591,True,https://filingaccess.serff.com/sfa/home/WA,"['Group Certificate', 'Group Certificate', 'Group Certificate', 'Group Certificate', 'Group Certificate', 'Group Certificate', 'Group Certificate', 'Group Policy', 'Group Policy', 'Dental Rider', 'Dental Rider', 'Dental Rider', 'Dental Rider', 'Dental Rider', 'AD & D Rider', 'Vision Rider', 'Vision Rider', 'Vision Rider', 'Vision Rider', 'Vision Rider', 'Medical Assistance Rider', 'Medical Assistance Rider', 'Medical Assistance Rider', 'Medical Assistance Rider', 'Medical Assistance Rider', 'Group Application', 'Group Application']",3/24/17
4 Ever Life Insurance Company,80985.0,For Public - Redacted Compensation,H21.000 Health - Other,Form,Closed - Disapproved,BCSF-128911329,1,128911329,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128911329,True,https://filingaccess.serff.com/sfa/home/WA,['Organizational Provider Agrmt - Facility'],2/25/13
4 Ever Life Insurance Company,80985.0,For Public - Redacted Compensation,H21.000 Health - Other,Form,Closed - Disapproved,BCSF-128911304,1,128911304,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128911304,True,https://filingaccess.serff.com/sfa/home/WA,"['Chiropractor Agreeement for Clincs', 'Addendum - Settlement of the Thomas/Love Proviter Litigation']",2/25/13
4 Ever Life Insurance Company,80985.0,For Public - Redacted Compensation,H21.000 Health - Other,Form,Closed - Disapproved,BCSF-128911301,1,128911301,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128911301,True,https://filingaccess.serff.com/sfa/home/WA,['Partcipating Hospital Agreement'],2/25/13
4 Ever Life Insurance Company,80985.0,For Public - Redacted Compensation,H21.000 Health - Other,Form,Closed - Disapproved,BCSF-128911319,1,128911319,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128911319,True,https://filingaccess.serff.com/sfa/home/WA,"['Practitioner Agreeement for Clincs', 'Addendum re: settlement of Thomas/Love']",2/25/13
4 Ever Life Insurance Company,80985.0,For Public - Redacted Compensation,H21.000 Health - Other,Form,Closed - Disapproved,BCSF-128911414,1,128911414,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128911414,True,https://filingaccess.serff.com/sfa/home/WA,"['Practitioner Agreeement w/Providers', 'Addendum re: settlement of Thomas/Love']",2/25/13
4 Ever Life Insurance Company,80985.0,For Public - Redacted Compensation,H21.000 Health - Other,Form,Closed - Disapproved,BCSF-128911409,1,128911409,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128911409,True,https://filingaccess.serff.com/sfa/home/WA,['Organizational Provider Agrmt - Hospital'],2/25/13
4 Ever Life Insurance Company,80985.0,For Public - Redacted Compensation,H21.000 Health - Other,Form,Closed - Disapproved,BCSF-128911373,1,128911373,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128911373,True,https://filingaccess.serff.com/sfa/home/WA,['Organizational Provider Agrmt - Laboratory'],2/25/13
4 Ever Life Insurance Company,80985.0,For Public - Redacted Compensation,H21.000 Health - Other,Form,Closed - Disapproved,BCSF-128911391,1,128911391,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128911391,True,https://filingaccess.serff.com/sfa/home/WA,['Organizational Provider Agrmt - Home Med Equip'],2/25/13
