Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date
Group Health Cooperative,95672.0,"Short Form Walla Walla Clinic, Inc.",HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-129028008,228,129028008,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129028008,True,https://filingaccess.serff.com/sfa/home/WA,[],ui-button
Group Health Cooperative,95672.0,Short Form Walla Walla School District,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-126830667,228,126830667,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126830667,True,https://filingaccess.serff.com/sfa/home/WA,['SHORT FORM FILING SUMMARY'],9/23/10
Group Health Cooperative,95672.0,Short Form Walla Walla School District,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-127635480,228,127635480,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127635480,True,https://filingaccess.serff.com/sfa/home/WA,['SUMMARY'],9/19/11
Group Health Cooperative,95672.0,Short Form Walla Walla School District,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-130274452,228,130274452,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130274452,True,https://filingaccess.serff.com/sfa/home/WA,['Short Form Filing Summary'],10/5/15
Group Health Cooperative,95672.0,Short Form Washington Dental Service,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-128487287,228,128487287,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128487287,True,https://filingaccess.serff.com/sfa/home/WA,['Short Form Filig Summary'],6/18/12
Group Health Cooperative,95672.0,Short Form Washington Dental Service,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-129050559,228,129050559,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129050559,True,https://filingaccess.serff.com/sfa/home/WA,['Filing summary'],5/29/13
Group Health Cooperative,95672.0,Short Form Washington Dental Service,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-126963219,229,126963219,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126963219,True,https://filingaccess.serff.com/sfa/home/WA,"['SUMMARY', 'SUMMARY']",12/27/10
Group Health Cooperative,95672.0,Short Form Washington Dental Service,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-128156760,229,128156760,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128156760,True,https://filingaccess.serff.com/sfa/home/WA,['Short Form Filig Summary'],3/8/12
Group Health Cooperative,95672.0,Short Form Washington Education Assn,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-127735859,229,127735859,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127735859,True,https://filingaccess.serff.com/sfa/home/WA,['SHORT FORM FILING SUMMARY'],10/19/11
Group Health Cooperative,95672.0,Short Form Washington Education Assn,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-126840506,229,126840506,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126840506,True,https://filingaccess.serff.com/sfa/home/WA,['SHORT FORM FILING SUMMARY'],9/30/10
Group Health Cooperative,95672.0,Short Form Washington Education Association,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-129285096,229,129285096,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129285096,True,https://filingaccess.serff.com/sfa/home/WA,['Short Form Filig Summary'],11/7/13
Group Health Cooperative,95672.0,Short Form Washington Federal,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-130682769,229,130682769,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130682769,True,https://filingaccess.serff.com/sfa/home/WA,"['SHORT FORM FILING SUMMARY', 'Custom App/Enr Washington Federal']",10/28/16
Group Health Cooperative,95672.0,Short Form Washington Federal,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-130273880,229,130273880,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130273880,True,https://filingaccess.serff.com/sfa/home/WA,"['Short Form Filing Summary', 'Custom App/Enr Washington Federal']",10/5/15
Group Health Cooperative,95672.0,Short Form Washington Fire Commissioners Association,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-129120398,229,129120398,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129120398,True,https://filingaccess.serff.com/sfa/home/WA,"['Custom App/Enr Washington Fire Commissioners Association', 'Summary']",7/17/13
Group Health Cooperative,95672.0,Short Form Washington Fire Commissioners Association,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-129120453,229,129120453,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129120453,True,https://filingaccess.serff.com/sfa/home/WA,"['Custom App/Enr Washington Fire Commissioners Association', 'Summary']",7/17/13
Group Health Cooperative,95672.0,Short Form Washington State Family Child Care Association,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-126549061,229,126549061,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126549061,True,https://filingaccess.serff.com/sfa/home/WA,[],3/18/10
Group Health Cooperative,95672.0,Short Form Washington Teamsters Welfare Trust,HOrg02G.003B Large Group Only - POS,Form,Closed - Filed,GHCC-127012234,229,127012234,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127012234,True,https://filingaccess.serff.com/sfa/home/WA,['SHORT FORM FILING SUMMARY'],1/31/11
Group Health Cooperative,95672.0,Short Form Wells Fargo & Company,HOrg02G.003B Large Group Only - POS,Form,Closed - No Company Response,GHCC-126977696,229,126977696,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126977696,True,https://filingaccess.serff.com/sfa/home/WA,['SUMMARY'],1/7/11
Group Health Cooperative,95672.0,Short Form Wells Fargo & Company,HOrg02G.003B Large Group Only - POS,Form,Closed - No Company Response,GHCC-126991045,229,126991045,WA,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126991045,True,https://filingaccess.serff.com/sfa/home/WA,['SHORT FORM FILING SUMMARY'],1/18/11
